cluster,n,mean_f_roh,sd_f_roh,mean_n_roh,panel
C0,31,0.8460866497481286,0.1231514560512464,308.8709677419355,Set1
C1,20,0.836142724736067,0.088661902590637,313.5,Set1
C2,20,0.8817672652408989,0.0312128666428769,301.7,Set1
C3,5,0.0801660458309384,0.081390542034929,50.4,Set1
C4,33,0.7689166094934731,0.1991033591006868,318.6060606060606,Set1
C5,20,0.9308340950959908,0.1248397872139907,137.4,Set1
C6,21,0.8183030916422296,0.2087520030198355,278.6190476190476,Set1
C0,8,0.762563986773132,0.0106731624203396,108.75,Set2
C1,21,0.5229965930011843,0.1530018163239662,94.95238095238096,Set2
C2,23,0.6389881073856863,0.0769212171612211,100.95652173913044,Set2
C3,15,0.6425373616444896,0.04160820311449,105.66666666666669,Set2
C4,9,0.7886517523047403,0.0604763537744968,102.0,Set2
C5,13,0.6594656528686531,0.0290816679270589,106.6153846153846,Set2
C6,20,0.7498512555826776,0.060800107909052,110.25,Set2
C7,28,0.7268949373796462,0.1562420466556066,100.85714285714286,Set2
C8,10,0.6544165794262535,0.1314659642350306,101.6,Set2
