block,panel,model,cv_r2_mean,cv_r2_sd,n_features,n,features,accuracy,cv_folds,empirical_p,null_mean,nonsize_raw_accuracy,target,n_correct_auto,acc_auto_folds,folds_auto,acc_primary_folds,folds_primary,label_sizes
sizeleakage_summary,Set1,ridge,0.7188568620400226,0.0525596712457377,93.0,146.0,,,,,,,,,,,,,
sizeleakage_summary,Set1,random_forest,0.6337847022172773,0.095971196667541,93.0,146.0,,,,,,,,,,,,,
sizeleakage_summary,Set2,ridge,0.8720583514139595,0.0587687712106804,93.0,147.0,,,,,,,,,,,,,
sizeleakage_summary,Set2,random_forest,0.7963005377691575,0.0691768202554049,93.0,147.0,,,,,,,,,,,,,
residualised_classifier,Set1,,,,,,nonsize_residualised_on_sizePC10,0.2602739726027397,2.0,0.052,0.1924184458431034,0.4178082191780822,,,,,,,
residualised_classifier,Set2,,,,,,nonsize_residualised_on_sizePC10,0.238095238095238,5.0,0.01,0.1533574390717248,0.3265306122448979,,,,,,,
kbattery_forensics,Set1,,,,,,,,,,,,kmeans_K6,70.0,0.4794520547945205,5.0,0.4383561643835616,2.0,20/20/21/22/31/32
kbattery_forensics,Set1,,,,,,,,,,,,kmeans_K8,70.0,0.4794520547945205,5.0,0.4041095890410959,2.0,8/9/12/15/20/26/28/28
kbattery_forensics,Set2,,,,,,,,,,,,kmeans_K8,56.0,0.3809523809523809,5.0,0.3809523809523809,5.0,7/9/14/15/19/25/27/31
kbattery_forensics,Set2,,,,,,,,,,,,kmeans_K10,44.0,0.2993197278911564,5.0,0.2993197278911564,5.0,7/9/10/13/15/15/17/17/19/25
