cluster,n,mean_rarefied_richness_Ag,n_private_alleles,private_per_1k_snps,panel
C0,31,1.542173333254836,686,1.3646988610931516,Set1
C1,20,1.5091465647084488,154,0.3063609688168299,Set1
C2,20,1.55884544735114,2570,5.112647336748396,Set1
C3,5,1.7495006013977863,0,0.0,Set1
C4,33,1.5649881818714826,740,1.472124135873079,Set1
C5,20,1.3539315641543528,3350,6.664345750236236,Set1
C6,21,1.5795942047535427,701,1.394539215198687,Set1
C0,8,1.2081249795731608,2,0.0633613179154126,Set2
C1,21,1.7618466969770945,1,0.0316806589577063,Set2
C2,23,1.6018699198773676,0,0.0,Set2
C3,15,1.551002033377838,0,0.0,Set2
C4,9,1.5786306996645276,342,10.83478536353556,Set2
C5,13,1.5169307222595818,0,0.0,Set2
C6,20,1.5308089892395542,0,0.0,Set2
C7,28,1.6685415664728682,0,0.0,Set2
C8,10,1.6468873779485682,0,0.0,Set2
