panel,n,comparison,r,p,bootstrap_95CI
Set1,146,genomic~phenomic,0.1597,0.001,"[0.122, 0.203]"
Set1,146,genomic~trait,0.0617,0.001,--
Set1,146,phenomic~trait,0.25,0.001,--
Set1,146,genomic~phenomic|trait(partial),0.1493,0.001,--
Set1,146,genomic~trait|phenomic(partial),0.0228,0.135,--
Set2,147,genomic~phenomic,0.0867,0.004,"[0.029, 0.183]"
Set2,147,genomic~trait,0.0915,0.001,--
Set2,147,phenomic~trait,0.1353,0.014,--
Set2,147,genomic~phenomic|trait(partial),0.0753,0.012,--
Set2,147,genomic~trait|phenomic(partial),0.0809,0.002,--
