"sample","Q1","Q2","Q3","Q4","Q5","Q6","Q7"
"CX151",0.00442625,9.9982e-05,0.0069022,9.9982e-05,0.039703,0.936829,0.0119399
"IRIS_313-8458",0.0617471,0.00233422,0.206576,9.9991e-05,0.039224,0.026853,0.663166
"IRIS_313-8621",0.192962,9.9982e-05,0.508546,0.0356147,9.9982e-05,0.0112609,0.251417
"IRIS_313-8731",0.980144,0.0052289,9.9964e-05,9.9964e-05,9.9964e-05,0.0142277,9.9964e-05
"IRIS_313-8754",0.844536,9.99639e-05,0.0937319,9.99639e-05,0.0613324,9.99639e-05,9.99639e-05
"IRIS_313-8924",0.998677,9.9955e-05,9.9955e-05,9.9955e-05,0.000823611,9.9955e-05,9.9955e-05
"IRIS_313-8982",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.088555,9.99549e-05,0.910945
"IRIS_313-9023",0.208646,9.9991e-05,0.526382,0.021194,0.00400393,0.0342152,0.205459
"IRIS_313-9351",0.617163,9.9982e-05,0.216947,9.9982e-05,0.0941393,0.0348938,0.0366567
"IRIS_313-9400",0.158792,0.012931,0.31049,0.0669372,0.0668434,0.239417,0.144589
"IRIS_313-9522",0.08694,0.00639643,0.595041,0.020344,0.0376372,0.0542055,0.199436
"IRIS_313-9604",0.209308,9.9973e-05,0.779976,9.9973e-05,0.00707675,0.00333947,9.9973e-05
"IRIS_313-9605",0.0730862,9.99639e-05,0.628317,9.99639e-05,9.99639e-05,9.99639e-05,0.298197
"IRIS_313-9611",0.968142,0.0101437,0.0213145,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"IRIS_313-10148",0.0813628,9.99549e-05,0.918137,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05
"IRIS_313-10150",0.00268207,0.490468,9.9973e-05,0.000616477,0.505934,9.9973e-05,9.9973e-05
"IRIS_313-10531",0.0824292,0.000714379,9.99819e-05,0.85508,0.0493521,0.0122241,9.99819e-05
"IRIS_313-10534",9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.948096,9.9955e-05,0.0514038
"IRIS_313-10543",0.00172132,9.9982e-05,0.0341164,9.9982e-05,0.8633,0.0854334,0.0152291
"IRIS_313-10544",0.635965,0.0162623,0.132159,9.9982e-05,0.0506069,9.9982e-05,0.164807
"IRIS_313-10608",9.99639e-05,0.528604,9.99639e-05,9.99639e-05,0.449844,0.0211527,9.99639e-05
"IRIS_313-10666",0.168838,9.99729e-05,0.0998029,0.00141352,9.99729e-05,9.99729e-05,0.729646
"IRIS_313-10671",9.9973e-05,0.0252917,9.9973e-05,0.000189266,0.131146,9.9973e-05,0.843073
"IRIS_313-10675",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0643571,9.99549e-05,0.935143
"IRIS_313-10676",9.99639e-05,0.142946,9.99639e-05,9.99639e-05,0.194403,9.99639e-05,0.662251
"IRIS_313-10754",9.99639e-05,9.99639e-05,0.918916,0.0244406,9.99639e-05,9.99639e-05,0.0562436
"IRIS_313-10833",0.643332,9.9982e-05,0.1788,9.9982e-05,0.026525,0.00111782,0.150026
"IRIS_313-10834",9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.0219712,0.977529,9.9955e-05
"IRIS_313-10835",0.644029,9.9982e-05,0.218225,9.9982e-05,0.0272434,0.00655124,0.103752
"IRIS_313-10836",0.648911,9.9982e-05,0.209375,9.9982e-05,0.00648837,0.000559987,0.134466
"IRIS_313-10849",9.9955e-05,0.222744,9.9955e-05,9.9955e-05,0.776757,9.9955e-05,9.9955e-05
"IRIS_313-10850",9.99549e-05,9.99549e-05,9.99549e-05,0.867922,9.99549e-05,0.131578,9.99549e-05
"IRIS_313-10852",9.99549e-05,0.358449,9.99549e-05,9.99549e-05,0.641051,9.99549e-05,9.99549e-05
"IRIS_313-10853",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10857",9.99639e-05,0.082046,9.99639e-05,9.99639e-05,0.214904,9.99639e-05,0.70265
"IRIS_313-10859",9.9964e-05,0.235298,9.9964e-05,9.9964e-05,0.0397877,9.9964e-05,0.724514
"IRIS_313-10861",9.9964e-05,0.975137,9.9964e-05,9.9964e-05,9.9964e-05,0.000510013,0.0239536
"IRIS_313-10862",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10865",9.9955e-05,0.0143933,9.9955e-05,9.9955e-05,9.9955e-05,0.985107,9.9955e-05
"IRIS_313-10866",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10867",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10869",9.99549e-05,0.906286,9.99549e-05,9.99549e-05,0.0932145,9.99549e-05,9.99549e-05
"IRIS_313-10870",9.9955e-05,0.0142461,9.9955e-05,9.9955e-05,9.9955e-05,0.985254,9.9955e-05
"IRIS_313-10871",9.9955e-05,0.982507,9.9955e-05,9.9955e-05,9.9955e-05,0.0169935,9.9955e-05
"IRIS_313-10872",9.9955e-05,9.9955e-05,9.9955e-05,0.387311,9.9955e-05,0.612189,9.9955e-05
"IRIS_313-10873",9.9973e-05,0.151078,9.9973e-05,9.9973e-05,0.542048,0.210302,0.0962726
"IRIS_313-10875",9.99549e-05,0.54947,9.99549e-05,9.99549e-05,0.45003,9.99549e-05,9.99549e-05
"IRIS_313-10876",9.99549e-05,0.990009,9.99549e-05,9.99549e-05,9.99549e-05,0.00949124,9.99549e-05
"IRIS_313-10877",9.995e-05,0.9994,9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05
"IRIS_313-10878",9.995e-05,0.9994,9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05
"IRIS_313-10879",0.0334772,0.594174,0.0167571,0.0521312,9.9991e-05,0.0257823,0.277578
"IRIS_313-10883",0.00793628,0.343898,0.0577006,9.9982e-05,9.9982e-05,0.540251,0.0500138
"IRIS_313-10888",9.9955e-05,9.9955e-05,0.00562027,9.9955e-05,9.9955e-05,0.99388,9.9955e-05
"IRIS_313-10893",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10894",0.0220095,0.68727,0.0473402,9.9982e-05,9.9982e-05,0.0569967,0.186184
"IRIS_313-10895",9.995e-05,9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05
"IRIS_313-10897",0.193294,0.00102445,0.136165,0.030977,9.9991e-05,0.0828205,0.555619
"IRIS_313-11041",0.765374,9.9982e-05,0.122995,9.9982e-05,0.0701947,0.00382692,0.0374087
"IRIS_313-11152",9.9973e-05,0.0152718,0.857352,9.9973e-05,9.9973e-05,0.0345819,0.0924941
"IRIS_313-11155",0.041655,9.9982e-05,0.016647,9.9982e-05,0.0138146,0.90182,0.0258632
"IRIS_313-11156",0.0216169,9.9982e-05,0.0235032,9.9982e-05,0.000871738,0.941577,0.0122311
"IRIS_313-11161",0.00207455,0.0010964,0.0259085,0.00118683,0.0206589,0.946463,0.00261164
"IRIS_313-11164",9.99549e-05,0.198547,9.99549e-05,9.99549e-05,0.800953,9.99549e-05,9.99549e-05
"IRIS_313-11165",0.344476,0.236768,9.9964e-05,9.9964e-05,0.418356,9.9964e-05,9.9964e-05
"IRIS_313-11166",0.0280011,9.9973e-05,9.9973e-05,9.9973e-05,0.900449,0.0431161,0.0281343
"IRIS_313-11167",0.826791,9.9991e-05,0.0105082,0.0273981,0.0408541,0.0143516,0.0799975
"IRIS_313-11168",0.0246972,0.161673,9.9973e-05,9.9973e-05,0.758426,0.0549033,9.9973e-05
"IRIS_313-11169",9.9964e-05,0.304135,0.00652528,9.9964e-05,0.68894,9.9964e-05,9.9964e-05
"IRIS_313-11170",9.9955e-05,0.0572515,9.9955e-05,9.9955e-05,0.942249,9.9955e-05,9.9955e-05
"IRIS_313-11171",9.9973e-05,0.0574831,9.9973e-05,9.9973e-05,0.860281,0.030398,0.0515379
"IRIS_313-11172",9.9964e-05,0.548567,9.9964e-05,0.00994825,0.441085,9.9964e-05,9.9964e-05
"IRIS_313-11173",9.9955e-05,0.213835,9.9955e-05,9.9955e-05,0.785665,9.9955e-05,9.9955e-05
"IRIS_313-11174",0.00442764,0.434338,9.99729e-05,9.99729e-05,0.538037,0.0228973,9.99729e-05
"IRIS_313-11175",9.99549e-05,0.570285,9.99549e-05,9.99549e-05,0.429215,9.99549e-05,9.99549e-05
"IRIS_313-11176",9.99819e-05,0.0361281,0.0391834,0.719778,0.115178,9.99819e-05,0.0895324
"IRIS_313-11197",0.134858,9.99814e-05,0.588206,9.99814e-05,9.99814e-05,0.00780092,0.268835
"IRIS_313-11198",9.9964e-05,9.9964e-05,0.00785782,9.9964e-05,0.0311538,0.960588,9.9964e-05
"IRIS_313-11200",0.187776,9.9982e-05,0.482066,0.038123,9.9982e-05,0.0198756,0.271959
"IRIS_313-11245",0.0164025,9.9973e-05,0.767328,0.0355465,9.9973e-05,9.9973e-05,0.180423
"IRIS_313-11247",0.0906493,9.99549e-05,0.908851,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05
"IRIS_313-11255",0.0697151,0.0393148,0.118733,9.99729e-05,9.99729e-05,9.99729e-05,0.771937
"IRIS_313-11257",0.181749,9.9982e-05,0.0686061,0.372213,9.9982e-05,0.153644,0.223587
"IRIS_313-11265",9.99549e-05,0.469221,9.99549e-05,9.99549e-05,0.530279,9.99549e-05,9.99549e-05
"IRIS_313-11274",9.9982e-05,0.086167,0.00207819,0.234849,0.606117,9.9982e-05,0.0705886
"IRIS_313-11275",0.0727146,0.00311539,0.0020901,9.9991e-05,0.102639,0.00903311,0.810308
"IRIS_313-11276",9.99549e-05,9.99549e-05,9.99549e-05,0.250908,9.99549e-05,9.99549e-05,0.748592
"IRIS_313-11277",9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05,0.806485,0.0149318,0.178183
"IRIS_313-11281",0.109538,0.0354566,0.445187,9.9973e-05,9.9973e-05,9.9973e-05,0.409518
"IRIS_313-11283",0.129774,0.0501802,0.101906,9.9982e-05,9.9982e-05,0.0406656,0.677275
"IRIS_313-11290",9.99729e-05,9.99729e-05,0.0571929,0.886744,9.99729e-05,0.0268744,0.0288886
"IRIS_313-11291",9.99549e-05,0.763625,9.99549e-05,9.99549e-05,0.235875,9.99549e-05,9.99549e-05
"IRIS_313-11298",9.99549e-05,0.551637,9.99549e-05,9.99549e-05,0.447863,9.99549e-05,9.99549e-05
"IRIS_313-11299",0.181614,0.0275063,0.0901198,9.9982e-05,9.9982e-05,0.0303864,0.670173
"IRIS_313-11302",0.0974148,9.9991e-05,0.0115359,0.0168839,0.259573,0.0246297,0.589863
"IRIS_313-11303",9.9955e-05,9.9955e-05,9.9955e-05,0.318085,9.9955e-05,9.9955e-05,0.681415
"IRIS_313-11304",0.12743,9.99639e-05,9.99639e-05,0.00325262,9.99639e-05,9.99639e-05,0.868917
"IRIS_313-11306",0.0948655,9.99639e-05,0.0398735,9.99639e-05,9.99639e-05,9.99639e-05,0.864861
"IRIS_313-11309",0.0880793,9.99639e-05,0.0314995,9.99639e-05,9.99639e-05,9.99639e-05,0.880021
"IRIS_313-11348",9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05,0.965527,0.000574376,0.0334993
"IRIS_313-11355",9.99639e-05,0.1479,0.719747,9.99639e-05,0.131953,9.99639e-05,9.99639e-05
"IRIS_313-11358",0.497149,9.9991e-05,0.0607257,0.0242953,0.00630377,0.0257441,0.385682
"IRIS_313-11371",9.99549e-05,0.177913,9.99549e-05,9.99549e-05,0.821588,9.99549e-05,9.99549e-05
"IRIS_313-11374",9.9955e-05,0.42161,9.9955e-05,9.9955e-05,0.57789,9.9955e-05,9.9955e-05
"IRIS_313-11408",0.881255,9.9991e-05,0.00799494,0.0135984,0.0215524,0.00858764,0.0669114
"IRIS_313-11414",0.54549,9.9982e-05,0.249524,9.9982e-05,0.0515867,0.0229649,0.130235
"IRIS_313-11433",9.995e-05,9.995e-05,0.9994,9.995e-05,9.995e-05,9.995e-05,9.995e-05
