"panel","K","repetition","cross_entropy"
"Set1",1,1,0.577537055352984
"Set1",1,2,0.579681475840934
"Set1",1,3,0.582314311484829
"Set1",1,4,0.5805288918137
"Set1",1,5,0.577183429555856
"Set1",2,1,0.507408674068615
"Set1",2,2,0.510205117670455
"Set1",2,3,0.51292571030409
"Set1",2,4,0.510352660123627
"Set1",2,5,0.507237674924645
"Set1",3,1,0.463639378042451
"Set1",3,2,0.467960195347233
"Set1",3,3,0.46858947589806
"Set1",3,4,0.465852920385881
"Set1",3,5,0.463624707550234
"Set1",4,1,0.452709919925826
"Set1",4,2,0.44580271751736
"Set1",4,3,0.457497852318847
"Set1",4,4,0.455007962751635
"Set1",4,5,0.443112061127052
"Set1",5,1,0.446827229048251
"Set1",5,2,0.435075222612616
"Set1",5,3,0.445573831787662
"Set1",5,4,0.434767545152622
"Set1",5,5,0.447531334364988
"Set1",6,1,0.425267204966997
"Set1",6,2,0.437904368334725
"Set1",6,3,0.430970303682977
"Set1",6,4,0.428433174543933
"Set1",6,5,0.426280494211343
"Set1",7,1,0.418747613355294
"Set1",7,2,0.421146351794401
"Set1",7,3,0.423652261966257
"Set1",7,4,0.420832638825638
"Set1",7,5,0.419368026742922
"Set1",8,1,0.417273805689471
"Set1",8,2,0.418689111877467
"Set1",8,3,0.421727051058107
"Set1",8,4,0.432607241995231
"Set1",8,5,0.41671924701266
"Set1",9,1,0.414575607397485
"Set1",9,2,0.417421949724004
"Set1",9,3,0.420201868492498
"Set1",9,4,0.416881996579794
"Set1",9,5,0.415300610089581
"Set1",10,1,0.412842398295889
"Set1",10,2,0.427170773067403
"Set1",10,3,0.420583257886961
"Set1",10,4,0.414120808364111
"Set1",10,5,0.41925064773698
"Set1",11,1,0.426255376001902
"Set1",11,2,0.417887353232715
"Set1",11,3,0.430497791918691
"Set1",11,4,0.415348434005128
"Set1",11,5,0.411333826314599
"Set1",12,1,0.435576191113205
"Set1",12,2,0.413417313148537
"Set1",12,3,0.417235932452999
"Set1",12,4,0.413889981851939
"Set1",12,5,0.428647752763998
