"sample","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9"
"281785",0.151167,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.160409,9.99548e-05,0.663691,0.0242337
"282803",9.99549e-05,9.99549e-05,0.425552,0.00376181,9.99549e-05,0.541724,9.99549e-05,0.0284621,9.99549e-05
"299554",9.9964e-05,0.0193185,0.0594373,0.530867,9.9964e-05,0.33681,9.9964e-05,0.0531673,9.9964e-05
"356457",0.0833719,9.99458e-05,0.683433,9.99458e-05,9.99458e-05,0.232595,9.99458e-05,9.99458e-05,9.99458e-05
"376579",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.00427065,9.99549e-05,0.740891,0.189453,0.0648851
"376851",0.00623156,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.722437,0.225822,0.0450099
"377448",9.99638e-05,0.0959222,0.304484,0.15921,9.99638e-05,0.06322,0.376764,9.99638e-05,9.99638e-05
"377705",9.99368e-05,9.99368e-05,0.944374,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,0.0549265,9.99368e-05
"384190",9.99369e-05,9.99369e-05,9.99369e-05,0.0110829,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.988218
"426049",0.0871889,9.99458e-05,0.686538,9.99458e-05,9.99458e-05,0.225673,9.99458e-05,9.99458e-05,9.99458e-05
"438644",9.99459e-05,9.99459e-05,0.414191,9.99459e-05,9.99459e-05,0.547503,9.99459e-05,0.0377065,9.99459e-05
"ADAYSEL",0.000538874,0.504536,0.190628,0.213135,9.9991e-05,0.0207006,0.0049324,0.013177,0.0522515
"AbhayaXDagadesi",9.9955e-05,9.9955e-05,0.241889,0.140942,9.9955e-05,0.562977,9.9955e-05,0.0536922,9.9955e-05
"ABHISEK",0.0733449,9.9973e-05,9.9973e-05,0.031163,0.0013935,9.9973e-05,0.0203029,0.780788,0.0927074
"ABOR-A-1",0.116247,9.99458e-05,0.851465,9.99458e-05,9.99458e-05,0.0316878,9.99458e-05,9.99458e-05,9.99458e-05
"ANJALI",0.0424196,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05,0.0797608,0.0289561,0.846091,0.00237217
"Annada",9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"Apo",9.99639e-05,0.000554056,0.0790003,0.874991,0.0198764,9.99639e-05,9.99639e-05,9.99639e-05,0.0251784
"ARC10319",0.249649,0.0745622,0.431227,0.108157,9.99729e-05,0.101237,0.0348671,9.99729e-05,9.99729e-05
"ARC12071",0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"ARNAPURNA",0.219967,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.463317,0.316116,9.99459e-05
"ASD16",0.16266,9.99549e-05,0.0604179,9.99549e-05,9.99549e-05,9.99549e-05,0.0636276,0.712795,9.99549e-05
"AUS257",0.0407815,9.99639e-05,9.99639e-05,0.179817,9.99639e-05,9.99639e-05,0.00620083,0.710436,0.0623651
"BAKAL",9.99639e-05,0.832486,0.0545773,9.99639e-05,0.0037821,0.00721783,9.99639e-05,9.99639e-05,0.101537
"BAM1057",0.000988196,0.998312,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05
"BAM1098",9.99549e-05,0.724153,0.104495,9.99549e-05,0.0849702,9.99549e-05,9.99549e-05,9.99549e-05,0.0858814
"BAM1659",0.434101,9.9964e-05,9.9964e-05,0.0110394,9.9964e-05,9.9964e-05,0.212938,0.334557,0.00696443
"BAM1689",9.99729e-05,0.780794,0.0836459,9.99729e-05,0.0412047,0.0240803,0.0432046,9.99729e-05,0.0267701
"BAM1708",9.99639e-05,0.787827,0.0738839,0.0244387,0.00190105,9.99639e-05,9.99639e-05,9.99639e-05,0.111549
"BAM1812",9.99638e-05,0.0954527,0.349045,0.108313,9.99638e-05,0.00880061,0.43799,9.99638e-05,9.99638e-05
"BAM2096",0.105977,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.577141,0.223934,0.0924479
"BAM2166",9.99549e-05,9.99549e-05,0.0348583,9.99549e-05,0.0666723,9.99549e-05,9.99549e-05,0.0424561,0.855514
"BAM247",0.0177269,9.99639e-05,0.613496,0.0115062,9.99639e-05,0.320962,0.0359095,9.99639e-05,9.99639e-05
"BAM2574",0.0381091,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.671544,0.223932,0.0659144
"BAM2680",0.0447153,9.99548e-05,0.250862,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.683918,0.0200049
"BAM3154",9.9964e-05,0.0185079,0.195648,0.488414,9.9964e-05,0.0835678,0.213462,9.9964e-05,9.9964e-05
"BAM3181",0.175465,9.9964e-05,9.9964e-05,9.9964e-05,0.0264821,9.9964e-05,0.569976,0.172589,0.0550884
"BAM326",0.0953828,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,0.812283,0.0917344,9.99458e-05
"BAM328",9.99549e-05,0.159705,0.319646,0.190974,9.99549e-05,9.99549e-05,0.329175,9.99549e-05,9.99549e-05
"BAM350",9.99464e-05,0.546311,0.256454,9.99464e-05,9.99464e-05,9.99464e-05,0.196635,9.99464e-05,9.99464e-05
"BAM3690",9.9955e-05,0.00630826,0.965686,0.0117877,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.015718
"BAM4009",9.9955e-05,0.847584,9.9955e-05,9.9955e-05,0.0706063,0.0148373,9.9955e-05,9.9955e-05,0.0664729
"BAM4054",0.103227,9.99548e-05,0.112553,9.99548e-05,9.99548e-05,9.99548e-05,0.027283,0.756438,9.99548e-05
"BAM4138",0.0330761,0.0744741,9.9955e-05,9.9955e-05,0.0109226,9.9955e-05,9.9955e-05,9.9955e-05,0.881027
"BAM4168",0.0123488,9.9982e-05,0.00717264,0.0203471,0.0521853,9.9982e-05,0.0969157,0.245549,0.565281
"BAM4234",0.0135682,9.99638e-05,9.99638e-05,9.99638e-05,0.0238606,0.251403,9.99638e-05,0.656042,0.0547265
"BAM4254",0.0181117,9.99638e-05,9.99638e-05,9.99638e-05,0.0268238,0.253993,9.99638e-05,0.648537,0.0521343
"BAM4477",9.99369e-05,9.99369e-05,0.980303,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0189975
"BAM4496",9.99639e-05,0.09236,0.426803,0.141342,9.99639e-05,0.0552686,0.283827,9.99639e-05,9.99639e-05
"BAM4510",0.0163938,0.115526,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0258983,9.99549e-05,0.841682
"BAM4521",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201
"BAM4534",9.9946e-05,0.981878,9.9946e-05,0.00304894,9.9946e-05,9.9946e-05,9.9946e-05,0.0144737,9.9946e-05
"BAM4797",0.0964647,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.61949,0.144016,0.139529
"BAM491",9.99639e-05,0.444271,0.187124,0.073932,9.99639e-05,0.0420871,0.252186,9.99639e-05,9.99639e-05
"BAM4928",0.00714441,9.99729e-05,0.00587267,9.99729e-05,0.0239193,9.99729e-05,0.021303,0.0700428,0.871418
"BAM5110",9.99458e-05,9.99458e-05,9.99458e-05,0.086179,9.99458e-05,9.99458e-05,0.0183986,0.894823,9.99458e-05
"BAM56",9.99549e-05,0.0653201,9.99549e-05,9.99549e-05,0.00843701,9.99549e-05,9.99549e-05,0.00481019,0.920933
"BAM5779",0.00632864,9.99729e-05,9.99729e-05,0.056668,0.468055,9.99729e-05,0.0190241,0.200784,0.248841
"BAM5850",9.9946e-05,0.980425,9.9946e-05,9.9946e-05,0.0052068,9.9946e-05,0.0137688,9.9946e-05,9.9946e-05
"BAM6921",9.99549e-05,9.99549e-05,0.146285,0.626445,9.99549e-05,0.183486,9.99549e-05,0.0432838,9.99549e-05
"BAM712",9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"BAM742",9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"BAM7429",9.99638e-05,0.0616208,0.352463,0.105015,9.99638e-05,0.00965869,0.470844,9.99638e-05,9.99638e-05
"BAM7449",0.0150512,0.980334,0.00401485,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05
"BAM747",9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"BAM759",9.99644e-05,0.543789,0.392638,0.000708416,9.99644e-05,0.0112577,9.99644e-05,0.0512078,9.99644e-05
"BAM766",9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"BAM807",9.99639e-05,9.99639e-05,9.99639e-05,0.0542616,0.456135,9.99639e-05,0.0229941,0.212657,0.253553
"BAM811",9.9964e-05,0.109719,0.380047,0.255599,9.9964e-05,0.111055,0.143179,9.9964e-05,9.9964e-05
"BAM812",0.00601904,9.9973e-05,0.00631634,9.9973e-05,0.0207419,9.9973e-05,0.245382,0.607896,0.113345
"BAM819",0.0958779,9.99549e-05,0.132167,9.99549e-05,9.99549e-05,9.99549e-05,0.0372422,0.734213,9.99549e-05
"BAM8296",9.99549e-05,9.99549e-05,0.273395,0.306436,9.99549e-05,0.382875,9.99549e-05,0.0367948,9.99549e-05
"BAM8305",0.0276633,9.9955e-05,0.355107,0.00157854,9.9955e-05,0.615152,9.9955e-05,9.9955e-05,9.9955e-05
"BAM8315",0.00601952,9.9955e-05,9.9955e-05,9.9955e-05,0.526075,9.9955e-05,9.9955e-05,0.0804314,0.386974
"BAM8364",0.055131,9.99549e-05,0.108201,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.677666,0.158501
"BAMAWPYAN",9.99369e-05,0.0371079,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.962193
"BENAMURI",0.137428,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.553367,0.283473,0.0252324
"BLACKGORA",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0124143,0.128907,0.852943,0.00523559
"CGR1656",9.99639e-05,0.0487208,0.509578,0.0748761,9.99639e-05,0.0549677,0.311457,9.99639e-05,9.99639e-05
"CGR1679",0.041118,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,0.813044,0.145238,9.99458e-05
"CGR2012",9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,0.86673,0.13257,9.99368e-05
"CO18",0.989119,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.00893768,0.00108678,0.000357171,9.9955e-05
"CRDHAN-204",9.99458e-05,9.99458e-05,9.99458e-05,0.136238,0.0146228,9.99458e-05,9.99458e-05,0.84854,9.99458e-05
"CR143-2-2",0.0127276,9.99369e-05,9.99369e-05,0.986573,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05
"CR262-4",0.0118418,9.99369e-05,9.99369e-05,0.987459,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05
"CROSSA",0.0482978,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.81237,0.138092,0.000740117
"DULAR",9.9937e-05,0.942072,9.9937e-05,9.9937e-05,9.9937e-05,9.9937e-05,9.9937e-05,9.9937e-05,0.0572285
"EYPO",9.99641e-05,0.260376,0.397487,0.0142845,9.99641e-05,0.148264,0.179189,9.99641e-05,9.99641e-05
"EYPO-2",0.291745,9.99638e-05,0.232865,9.99638e-05,0.000974761,9.99638e-05,9.99638e-05,0.438218,0.0357961
"FULKATI",9.9946e-05,0.95917,9.9946e-05,0.0158126,9.9946e-05,9.9946e-05,9.9946e-05,0.024418,9.9946e-05
"Ghanteswari",0.0453763,9.99549e-05,0.864391,9.99549e-05,9.99549e-05,0.0719625,0.0177701,9.99549e-05,9.99549e-05
"GHATIKAMMANANGARHAR",0.0945772,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05,0.0985894,0.0177121,0.769949,0.0187722
"GotrabiDhan",0.0267715,0.000596031,0.587026,0.0413536,9.99729e-05,0.328073,9.99729e-05,0.01588,9.99729e-05
"GP-145-37",9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,9.99458e-05,0.792067,0.183217,0.0241165
"GP-145-51",9.99547e-05,0.0453835,0.352786,0.126335,9.99547e-05,9.99547e-05,0.474996,9.99547e-05,9.99547e-05
"HARBHOONDI",0.00952572,9.99639e-05,9.99639e-05,0.28025,0.00890228,9.99639e-05,9.99639e-05,0.686233,0.0146894
"HongZuiEr",9.9946e-05,9.9946e-05,0.884393,0.0884321,9.9946e-05,9.9946e-05,9.9946e-05,9.9946e-05,0.0265757
"IndrabaruniDhan",0.0533442,9.99639e-05,0.317139,0.412584,9.99639e-05,0.166695,9.99639e-05,0.0498376,9.99639e-05
"IR74371-54-1-1",0.0300474,9.99369e-05,9.99369e-05,0.969253,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05
"IR77298-14-1-2-10",9.9964e-05,0.0153026,0.227244,0.543935,9.9964e-05,0.163669,9.9964e-05,0.0494501,9.9964e-05
"IR77298-5-6-18",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05
"IR83383-B-B-129-4",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05
"IR83388-B-B108-3",0.0197529,9.9964e-05,0.16656,0.446406,9.9964e-05,0.358363,9.9964e-05,0.00851781,9.9964e-05
"IR87707-445-B-B",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05
"IR87707-446-B-B",9.9946e-05,9.9946e-05,0.0808422,0.313902,9.9946e-05,0.604656,9.9946e-05,9.9946e-05,9.9946e-05
"IRROEPYO",0.0327395,9.99552e-05,9.99552e-05,9.99552e-05,9.99552e-05,0.0115741,9.99552e-05,0.141801,0.813385
"KALINGA-1",0.0516718,9.99639e-05,0.672258,0.0733083,9.99639e-05,0.188412,9.99639e-05,0.0139496,9.99639e-05
"KANGRO",0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"KHAODAWTAI",0.00122555,9.99639e-05,0.103928,9.99639e-05,9.99639e-05,9.99639e-05,0.1801,0.713287,0.00106068
"MANDRIRAVINA",0.984704,0.0102492,9.9946e-05,9.9946e-05,9.9946e-05,9.9946e-05,0.00444725,9.9946e-05,9.9946e-05
"MAUDAMANI",0.0420479,0.006001,9.9964e-05,0.0279885,9.9964e-05,9.9964e-05,0.100509,0.823054,9.9964e-05
"MOROBEREKAN",9.9964e-05,0.18932,0.0822374,0.063484,0.6442,0.0203584,9.9964e-05,9.9964e-05,9.9964e-05
"MTU1010",0.0177159,9.99459e-05,0.0516498,9.99459e-05,9.99459e-05,0.930035,9.99459e-05,9.99459e-05,9.99459e-05
"MTU9",0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"NERICA-L-26",9.99459e-05,9.99459e-05,9.99459e-05,0.90767,9.99459e-05,0.0895943,0.00213577,9.99459e-05,9.99459e-05
"NERICA-L-42",9.99369e-05,9.99369e-05,9.99369e-05,0.917376,9.99369e-05,0.0819247,9.99369e-05,9.99369e-05,9.99369e-05
"NERICA-L-44",9.99639e-05,9.99639e-05,0.253161,0.276493,9.99639e-05,0.39353,0.015952,0.0604643,9.99639e-05
"PARIJAT",9.99639e-05,0.00610227,0.617786,0.224801,9.99639e-05,0.0885036,9.99639e-05,0.062407,9.99639e-05
"Patchaiperumal",0.0770882,0.118966,0.417294,0.0891399,9.99729e-05,0.0528161,0.244397,9.99729e-05,9.99729e-05
"PEH-KUH-TSAO-TU",0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"PMK-2",0.11248,9.99458e-05,0.863151,9.99458e-05,9.99458e-05,0.0237694,9.99458e-05,9.99458e-05,9.99458e-05
"PRASAD-1",0.179774,9.99639e-05,9.99639e-05,9.99639e-05,0.0105214,0.0722234,9.99639e-05,0.694923,0.0421582
"PUSASUGANDH5",9.99729e-05,0.0343424,0.406073,0.243101,0.0670498,0.213051,9.99729e-05,0.0360821,9.99729e-05
"PUSA1121",9.9955e-05,0.34048,0.216395,0.196341,0.246284,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05
"Pusa1121-SN12",9.9955e-05,0.306361,0.279551,0.177143,0.236445,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05
"PUSA44",9.99548e-05,9.99548e-05,0.343978,0.21631,9.99548e-05,0.322686,9.99548e-05,0.116527,9.99548e-05
"PUSABASMATI6",0.0768659,9.9964e-05,9.9964e-05,9.9964e-05,0.256143,0.0502027,9.9964e-05,0.469331,0.147057
"PUSASUGANDH2",0.144482,9.995e-05,9.995e-05,0.0946237,9.995e-05,9.995e-05,0.0789177,0.681477,9.995e-05
"RASI",9.99642e-05,0.0452874,0.663404,0.153498,9.99642e-05,0.0696938,9.99642e-05,0.0677171,9.99642e-05
"RKVY-104",9.99549e-05,0.884651,0.0117437,9.99549e-05,0.0781672,9.99549e-05,9.99549e-05,9.99549e-05,0.0249388
"RKVY-143",9.99638e-05,0.067514,0.329154,0.0667578,9.99638e-05,0.0198979,0.516276,9.99638e-05,9.99638e-05
"RKVY-28",0.0286172,0.922545,0.0440403,9.9955e-05,9.9955e-05,9.9955e-05,0.00429727,9.9955e-05,9.9955e-05
