"sample","PC1","PC2","PC3","PC4","group"
"B001",-0.0252624827601831,-0.00627562539877011,0.0436008486802078,-0.000303404147898265,"3K-RGP reference (unlabelled)"
"B002",-0.027500249670561,-0.00598461657427606,0.0464350993120468,0.000542551252576054,"3K-RGP reference (unlabelled)"
"B003",-0.0283392634466924,-0.00564533273772888,0.0152568659118924,0.00427750585134696,"3K-RGP reference (unlabelled)"
"B004",-0.0308469922692376,-0.00646954154332105,0.0541987990362607,0.000503385232432052,"3K-RGP reference (unlabelled)"
"B005",-0.0305937063206811,-0.00637556373225899,0.05360166520035,-7.06442948215809e-05,"3K-RGP reference (unlabelled)"
"B006",0.0152719272051402,-0.00837216293170069,0.000711391456768253,-0.000342441248531809,"3K-RGP reference (unlabelled)"
"B007",0.0147353526735436,-0.00752792666538747,0.0010560321999235,0.000606919555911791,"3K-RGP reference (unlabelled)"
"B008",-0.0303324281821035,-0.00609087078411786,0.0496632697412902,-0.000218133921117892,"3K-RGP reference (unlabelled)"
"B009",0.0143480419216267,-0.00830633274913232,0.00277116443185986,0.00318138217685127,"3K-RGP reference (unlabelled)"
"B010",0.0135045509012482,-0.0074519444883226,0.00282498839109465,0.00289423751955527,"3K-RGP reference (unlabelled)"
"B011",0.0143538414043522,0.000202057312669697,0.00236496911385701,0.00154655968297672,"3K-RGP reference (unlabelled)"
"B012",0.0112158305180085,0.000312679839257571,0.00119985578029249,0.000574551618839686,"3K-RGP reference (unlabelled)"
"B013",0.00716560651482063,-0.00687335358264859,0.00788950038811395,0.000626630767841009,"3K-RGP reference (unlabelled)"
"B014",-0.0213437977462605,-0.00626074987598286,0.0329981338073791,0.00292790982707067,"3K-RGP reference (unlabelled)"
"B015",0.0147393374520664,-0.00814293851137139,0.00341389196356842,0.00371328984463451,"3K-RGP reference (unlabelled)"
"B016",-0.0295297139857954,-0.00479137774091734,0.0333598067486506,-0.00336642481982229,"3K-RGP reference (unlabelled)"
"B017",-0.0285686311120738,-0.00496884237901272,0.0406799955969292,-0.00324514043388043,"3K-RGP reference (unlabelled)"
"B018",-0.0281968481234433,-0.00568000053712792,-0.0339548226645781,0.0224116295976868,"3K-RGP reference (unlabelled)"
"B019",0.0130237310806436,-0.00749943052698718,-0.000385315903800415,0.00140469939462515,"3K-RGP reference (unlabelled)"
"B020",-0.00374437135246136,-0.00605096962249205,-0.0143948671803859,0.00877527301215814,"3K-RGP reference (unlabelled)"
"B021",0.012537684667216,-0.00787318249328964,0.0014425025963397,-0.00085086203147896,"3K-RGP reference (unlabelled)"
"B023",-0.0214692366605673,-0.00567483388364197,0.0343788201070715,-0.00162534825918706,"3K-RGP reference (unlabelled)"
"B024",0.013653575879549,-0.00759369090563687,0.00268500585196325,0.0027898239841974,"3K-RGP reference (unlabelled)"
"B025",-0.0252692380408759,-0.0048843744403431,-0.0277876513657995,0.0112333223181182,"3K-RGP reference (unlabelled)"
"B026",0.0143564029903886,0.000106963094232841,0.00242755184039048,0.00160271389175375,"3K-RGP reference (unlabelled)"
"B027",0.0138779631173338,-0.00861716170795157,-0.00278784261735817,0.000132905711131908,"3K-RGP reference (unlabelled)"
"B028",0.0125358647139946,-0.00696815212809653,0.00429937055145379,0.00199521635359297,"3K-RGP reference (unlabelled)"
"B029",0.00958101114789328,-0.00680219372786902,0.00629698161538267,0.00135839914738228,"3K-RGP reference (unlabelled)"
"B030",0.0131282127454852,-0.00569735186131152,0.00046710285073605,-0.00269291568401525,"3K-RGP reference (unlabelled)"
"B031",0.0145673336772944,-0.00182015927328645,0.000754280955659735,-0.000271528104804297,"3K-RGP reference (unlabelled)"
"B032",0.0141621762350437,-0.00636474058313286,0.0032561842304575,0.00186338945067646,"3K-RGP reference (unlabelled)"
"B033",0.0146605778547703,-0.00863401448699448,0.00114144209617981,0.000737662913418162,"3K-RGP reference (unlabelled)"
"B034",-0.0308372312199593,-0.0059377654597304,0.0491419167564079,0.000508785934896701,"3K-RGP reference (unlabelled)"
"B035",0.00985824027081013,-0.00688790417731623,-0.000636348985143288,0.00108449783160243,"3K-RGP reference (unlabelled)"
"B036",-0.0285807366895646,-0.00547614202116062,0.00576524599061795,0.00511539914562024,"3K-RGP reference (unlabelled)"
"B037",-0.0215281244688509,-0.00604405253489105,-0.0101352186026185,0.0148264272997053,"3K-RGP reference (unlabelled)"
"B038",-0.0279962562802792,-0.00558043943129159,0.0276226196469985,0.00192861326394604,"3K-RGP reference (unlabelled)"
"B039",0.000433412789920693,-0.00732084239947488,0.0175404189383939,0.0010737718226352,"3K-RGP reference (unlabelled)"
"B040",0.0153350601775604,-0.00754070587888286,0.00285425432588374,0.00258519121521231,"3K-RGP reference (unlabelled)"
"B043",-0.0280306617303789,-0.00481787873806189,-0.0253650345301487,0.0186391979877624,"3K-RGP reference (unlabelled)"
"B044",0.00548379101621144,-0.00272333247971042,-0.00302843125551155,-0.0226574755770964,"3K-RGP reference (unlabelled)"
"B045",-0.0304330005590329,-0.00589943733951477,0.0513159781518304,0.000306275404504437,"3K-RGP reference (unlabelled)"
"B046",-0.0308088663780182,-0.00644827159489148,0.0531370370747288,0.000379340901765399,"3K-RGP reference (unlabelled)"
"B047",-0.0127281033426961,-0.0064764103358568,0.0289997068112976,-0.000120712464615162,"3K-RGP reference (unlabelled)"
"B048",0.0130237399554252,-0.0058707949899073,0.000958563109758779,-0.000160661501642651,"3K-RGP reference (unlabelled)"
"B049",0.00143777271307705,0.0475217966668203,0.00321797616739283,0.00961660579971665,"3K-RGP reference (unlabelled)"
"B051",0.0131427966942507,-0.00767061350613005,0.000149244473752142,0.00242074117387876,"3K-RGP reference (unlabelled)"
"B052",0.0107489679289744,0.0202709521559152,0.000145052412979416,0.00530294863714345,"3K-RGP reference (unlabelled)"
"B053",-0.0233234424827839,-0.0059580603146807,-0.0119303047088262,0.0149257263483934,"3K-RGP reference (unlabelled)"
"B054",-0.0281805406964563,-0.00568923105460891,-0.022085325622952,0.0192199579868459,"3K-RGP reference (unlabelled)"
"B055",-0.022182363589602,-0.00647919464361437,0.0294336651287588,0.00404679866549673,"3K-RGP reference (unlabelled)"
"B056",-0.0278716621490449,-0.00562850142184779,0.0441998089218502,-0.00485764326687348,"3K-RGP reference (unlabelled)"
"B057",-0.0276811579308646,-0.00607044075549237,0.048467785632337,-0.00231648219080927,"3K-RGP reference (unlabelled)"
"B058",0.0140764928066793,-0.0085296254236621,0.00130185238513603,0.000725803025219451,"3K-RGP reference (unlabelled)"
"B059",0.0141871526485873,-0.00779108079388766,0.00377189351459964,0.0037782313690768,"3K-RGP reference (unlabelled)"
"B060",0.0140161500001179,-0.00929210528872795,0.00360184630081565,0.0034266267526084,"3K-RGP reference (unlabelled)"
"B061",0.0144759229432168,-0.00914012658003612,0.00339997112158494,0.00318075464412446,"3K-RGP reference (unlabelled)"
"B062",0.0134915586709688,-0.00828714043766555,0.00311077331548221,0.00385723265431101,"3K-RGP reference (unlabelled)"
"B063",0.0130206200718636,-0.00843519993551613,0.00283675088263638,0.00167206256985761,"3K-RGP reference (unlabelled)"
"B064",0.0140730581449247,-0.00733914649048623,0.00326430508280323,0.00155789567035917,"3K-RGP reference (unlabelled)"
"B065",0.0129427600577665,-0.00764298421528097,0.00272777300963021,0.00199908100819216,"3K-RGP reference (unlabelled)"
"B066",-0.0281202908450394,-0.00504280257383269,0.0304232056197755,-0.00460028332839512,"3K-RGP reference (unlabelled)"
"B067",0.0140795713394705,-0.00851754307090999,0.00285425594137596,0.00251662393838285,"3K-RGP reference (unlabelled)"
"B068",-0.0294699382528595,-0.00521701947830784,0.0424838902517371,-0.00463186528818538,"3K-RGP reference (unlabelled)"
"B069",-0.0260773028674334,-0.00556519702217631,0.0153473101368216,0.00278071676537794,"3K-RGP reference (unlabelled)"
"B070",-0.0286961565934223,-0.00554315461511406,0.0169482268806917,0.00275203190058486,"3K-RGP reference (unlabelled)"
"B071",-0.0271103947449487,-0.00575508386502763,0.0404515639693793,-0.00348942790880548,"3K-RGP reference (unlabelled)"
"B072",0.00657361403632941,-0.00655757456717466,0.00809093254494226,0.00163483930774444,"3K-RGP reference (unlabelled)"
"B073",0.0132585936200494,-0.00783215329272326,0.00261300089754792,-0.000589091530521089,"3K-RGP reference (unlabelled)"
"B074",0.0135281246510919,-0.00901807190850761,0.00484105830579631,0.00304740849426285,"3K-RGP reference (unlabelled)"
"B075",0.0112465175793005,-0.00733869046250291,0.00218262860758418,0.000732916682094411,"3K-RGP reference (unlabelled)"
"B076",0.013247129708742,-0.00832755037956795,0.00233402267775137,0.000530248212718606,"3K-RGP reference (unlabelled)"
"B077",-0.0261827192612502,-0.00547255034914624,0.0412104009969679,-0.00371892359547346,"3K-RGP reference (unlabelled)"
"B079",0.014881659548151,-0.00740895111914616,0.00225089890332676,0.00286606296179384,"3K-RGP reference (unlabelled)"
"B081",0.0131566140652274,-0.00773657482789938,0.0015811817336472,0.0013974036619627,"3K-RGP reference (unlabelled)"
"B082",0.0116939491367721,-0.00845088863656576,0.00328388725860441,0.000326096095059923,"3K-RGP reference (unlabelled)"
"B083",0.0141898956883333,-0.00930796089618591,0.00285355865612821,0.00274062099679571,"3K-RGP reference (unlabelled)"
"B084",-0.0128258314500418,-0.00763883771639629,0.0337925114055413,0.00107187027308128,"3K-RGP reference (unlabelled)"
"B085",0.0128715102058026,-0.0089285428968761,0.00308783683428375,0.0022213213421361,"3K-RGP reference (unlabelled)"
"B086",-0.00852016905931855,-0.00641407485824184,0.0187187620876783,-0.00172016170828924,"3K-RGP reference (unlabelled)"
"B087",0.0103153320497471,-0.00363451519466728,0.00180990015603831,-0.00110589646439096,"3K-RGP reference (unlabelled)"
"B088",0.00986192192335384,-0.00693585358004624,-0.000652664303410558,0.00103747239352108,"3K-RGP reference (unlabelled)"
"B089",0.0121357818723951,-0.00608762583273965,0.000811784674300827,0.00213832885523787,"3K-RGP reference (unlabelled)"
"B090",0.0117456669868121,-0.00310677314264602,0.000745403058743888,0.00251127897611066,"3K-RGP reference (unlabelled)"
"B091",0.0130067655132875,-0.000919756084194372,0.00080774909896851,0.00283464671187671,"3K-RGP reference (unlabelled)"
"B092",0.0134108274348262,-0.009628363768895,0.00389760121534736,0.00389347171137553,"3K-RGP reference (unlabelled)"
"B093",0.0106112396726227,-0.00453286108063884,0.000708406656812677,0.00244244103579285,"3K-RGP reference (unlabelled)"
"B094",0.0135012770513902,-0.00612917625840931,0.00164092450478579,0.00260150179224792,"3K-RGP reference (unlabelled)"
"B095",0.0148362747310297,-0.00801626889583071,-4.14026181015199e-05,0.00103077446512689,"3K-RGP reference (unlabelled)"
"B096",0.0138249836116702,-0.00722301020445875,5.9005780153336e-05,0.00251728930069916,"3K-RGP reference (unlabelled)"
"B097",0.0147134722745949,-0.00619260181683772,0.000572640576218149,0.00164228834737596,"3K-RGP reference (unlabelled)"
"B100",-0.0282999640387957,-0.00495044095554041,0.0270524281511175,-0.00336096685822949,"3K-RGP reference (unlabelled)"
"B101",-0.0196087178504179,-0.00557520458419662,0.0312999793579691,-0.00330772835821648,"3K-RGP reference (unlabelled)"
