panel,accession,in_core,core_rank
Set2,ARNAPURNA,True,1
Set2,MOROBEREKAN,True,2
Set2,NERICA-L-42,True,3
Set2,RKVY-28,True,4
Set2,BAM2166,True,5
Set2,PUSABASMATI6,True,6
Set2,ARC10319,True,7
Set2,BAM491,True,8
Set2,377705,True,9
Set2,BAM4168,True,10
Set2,BAM5779,True,11
Set2,RRF-78,True,12
Set2,PUSA1121,True,13
Set2,SHAKU,True,14
Set2,BAM328,True,15
Set2,ADAYSEL,False,16
Set2,BAM811,False,17
Set2,EYPO,False,18
Set2,BAM759,False,19
Set2,BAM4234,False,20
Set2,ABHISEK,False,21
Set2,IRROEPYO,False,22
Set2,RASI,False,23
Set2,KHAODAWTAI,False,24
Set2,VANDANA,False,25
Set2,PUSASUGANDH5,False,26
Set2,BAM8305,False,27
Set2,BAM8315,False,28
Set2,PRASAD-1,False,29
Set2,BAM4009,False,30
Set2,GP-145-51,False,31
Set2,376579,False,32
Set2,PUSASUGANDH2,False,33
Set2,BAM819,False,34
Set2,IR77298-14-1-2-10,False,35
Set2,BAM1659,False,36
Set2,SATABHAMA,False,37
Set2,BAM2096,False,38
Set2,AbhayaXDagadesi,False,39
Set2,BAM247,False,40
Set2,FULKATI,False,41
Set2,BAM766,False,42
Set2,BAM8364,False,43
Set2,299554,False,44
Set2,PARIJAT,False,45
Set2,BAM8296,False,46
Set2,BAM350,False,47
Set2,BAM4496,False,48
Set2,BAM4054,False,49
Set2,SR1-3-1,False,50
Set2,BAM56,False,51
Set2,CRDHAN-204,False,52
Set2,MAUDAMANI,False,53
Set2,KALINGA-1,False,54
Set2,NERICA-L-44,False,55
Set2,BLACKGORA,False,56
Set2,SUWEON,False,57
Set2,ANJALI,False,58
Set2,IR87707-446-B-B,False,59
Set2,Patchaiperumal,False,60
Set2,SAFRI-17,False,61
Set2,RKVY-104,False,62
Set2,426049,False,63
Set2,281785,False,64
Set2,BAM4797,False,65
Set2,BAM1098,False,66
Set2,377448,False,67
Set2,Apo,False,68
Set2,ASD16,False,69
Set2,CGR1656,False,70
Set2,BAMAWPYAN,False,71
Set2,BAM3154,False,72
Set2,R-RF-44,False,73
Set2,BAM1689,False,74
Set2,EYPO-2,False,75
Set2,376851,False,76
Set2,GHATIKAMMANANGARHAR,False,77
Set2,DULAR,False,78
Set2,AUS257,False,79
Set2,VANAPRAVA,False,80
Set2,BAM5850,False,81
Set2,Ghanteswari,False,82
Set2,MANDRIRAVINA,False,83
Set2,HongZuiEr,False,84
Set2,BAM2574,False,85
Set2,SWARNA,False,86
Set2,IR83383-B-B-129-4,False,87
Set2,BAM4510,False,88
Set2,BAM1812,False,89
Set2,Sadabahar,False,90
Set2,CROSSA,False,91
Set2,BAM4928,False,92
Set2,CR262-4,False,93
Set2,BAM3181,False,94
Set2,438644,False,95
Set2,BAM6921,False,96
Set2,RKVY-143,False,97
Set2,PUSA44,False,98
Set2,BAKAL,False,99
Set2,BAM4521,False,100
Set2,GP-145-37,False,101
Set2,BAM2680,False,102
Set2,BAM1708,False,103
Set2,BAM7429,False,104
Set2,SERATOES,False,105
Set2,BAM326,False,106
Set2,BAM4138,False,107
Set2,BAM4534,False,108
Set2,IndrabaruniDhan,False,109
Set2,BENAMURI,False,110
Set2,BAM812,False,111
Set2,BAM3690,False,112
Set2,CGR1679,False,113
Set2,BAM7449,False,114
Set2,PMK-2,False,115
Set2,384190,False,116
Set2,HARBHOONDI,False,117
Set2,BAM5110,False,118
Set2,IR83388-B-B108-3,False,119
Set2,IR74371-54-1-1,False,120
Set2,IR77298-5-6-18,False,121
Set2,MTU1010,False,122
Set2,CGR2012,False,123
Set2,SERETY,False,124
Set2,IR87707-445-B-B,False,125
Set2,Pusa1121-SN12,False,126
Set2,BAM4477,False,127
Set2,GotrabiDhan,False,128
Set2,ARC12071,False,129
Set2,Annada,False,130
Set2,BAM747,False,131
Set2,282803,False,132
Set2,BAM712,False,133
Set2,BAM807,False,134
Set2,BAM742,False,135
Set2,MTU9,False,136
Set2,NERICA-L-26,False,137
Set2,KANGRO,False,138
Set2,BAM4254,False,139
Set2,PEH-KUH-TSAO-TU,False,140
Set2,Wayrarem,False,141
Set2,BAM1057,False,142
Set2,CO18,False,143
Set2,SAHBHAGIDHAN,False,144
Set2,ABOR-A-1,False,145
Set2,CR143-2-2,False,146
Set2,356457,False,147
