"sample","dapc_cluster"
"CX151","D0"
"IRIS_313-8458","D5"
"IRIS_313-8621","D6"
"IRIS_313-8731","D2"
"IRIS_313-8754","D2"
"IRIS_313-8924","D2"
"IRIS_313-8982","D4"
"IRIS_313-9023","D6"
"IRIS_313-9351","D2"
"IRIS_313-9400","D5"
"IRIS_313-9522","D6"
"IRIS_313-9604","D6"
"IRIS_313-9605","D6"
"IRIS_313-9611","D2"
"IRIS_313-10148","D6"
"IRIS_313-10150","D1"
"IRIS_313-10531","D5"
"IRIS_313-10534","D3"
"IRIS_313-10543","D3"
"IRIS_313-10544","D2"
"IRIS_313-10608","D1"
"IRIS_313-10666","D5"
"IRIS_313-10671","D4"
"IRIS_313-10675","D4"
"IRIS_313-10676","D4"
"IRIS_313-10754","D6"
"IRIS_313-10833","D2"
"IRIS_313-10834","D0"
"IRIS_313-10835","D2"
"IRIS_313-10836","D2"
"IRIS_313-10849","D3"
"IRIS_313-10850","D0"
"IRIS_313-10852","D3"
"IRIS_313-10853","D0"
"IRIS_313-10857","D4"
"IRIS_313-10859","D4"
"IRIS_313-10861","D1"
"IRIS_313-10862","D0"
"IRIS_313-10865","D0"
"IRIS_313-10866","D0"
"IRIS_313-10867","D0"
"IRIS_313-10869","D1"
"IRIS_313-10870","D0"
"IRIS_313-10871","D1"
"IRIS_313-10872","D0"
"IRIS_313-10873","D3"
"IRIS_313-10875","D1"
"IRIS_313-10876","D1"
"IRIS_313-10877","D1"
"IRIS_313-10878","D1"
"IRIS_313-10879","D1"
"IRIS_313-10883","D0"
"IRIS_313-10888","D0"
"IRIS_313-10893","D0"
"IRIS_313-10894","D1"
"IRIS_313-10895","D0"
"IRIS_313-10897","D5"
"IRIS_313-11041","D2"
"IRIS_313-11152","D6"
"IRIS_313-11155","D0"
"IRIS_313-11156","D0"
"IRIS_313-11161","D0"
"IRIS_313-11164","D3"
"IRIS_313-11165","D1"
"IRIS_313-11166","D3"
"IRIS_313-11167","D2"
"IRIS_313-11168","D3"
"IRIS_313-11169","D3"
"IRIS_313-11170","D3"
"IRIS_313-11171","D3"
"IRIS_313-11172","D1"
"IRIS_313-11173","D3"
"IRIS_313-11174","D1"
"IRIS_313-11175","D1"
"IRIS_313-11176","D5"
"IRIS_313-11197","D6"
"IRIS_313-11198","D0"
"IRIS_313-11200","D6"
"IRIS_313-11245","D6"
"IRIS_313-11247","D6"
"IRIS_313-11255","D4"
"IRIS_313-11257","D5"
"IRIS_313-11265","D1"
"IRIS_313-11274","D3"
"IRIS_313-11275","D5"
"IRIS_313-11276","D5"
"IRIS_313-11277","D3"
"IRIS_313-11281","D6"
"IRIS_313-11283","D5"
"IRIS_313-11290","D5"
"IRIS_313-11291","D1"
"IRIS_313-11298","D1"
"IRIS_313-11299","D5"
"IRIS_313-11302","D5"
"IRIS_313-11303","D5"
"IRIS_313-11304","D5"
"IRIS_313-11306","D5"
"IRIS_313-11309","D5"
"IRIS_313-11348","D3"
"IRIS_313-11355","D6"
"IRIS_313-11358","D2"
"IRIS_313-11371","D3"
"IRIS_313-11374","D1"
"IRIS_313-11408","D2"
"IRIS_313-11414","D2"
"IRIS_313-11433","D6"
"IRIS_313-11445","D2"
"IRIS_313-11447","D5"
"IRIS_313-11452","D3"
"IRIS_313-11453","D2"
"IRIS_313-11454","D1"
"IRIS_313-11455","D3"
"IRIS_313-11458","D3"
"IRIS_313-11462","D1"
"IRIS_313-11476","D1"
"IRIS_313-11477","D3"
"IRIS_313-11479","D0"
"IRIS_313-11489","D1"
"IRIS_313-11491","D2"
"IRIS_313-11493","D5"
"IRIS_313-11494","D0"
"IRIS_313-11596","D6"
"IRIS_313-11597","D2"
"IRIS_313-11599","D2"
"IRIS_313-11600","D2"
"IRIS_313-11602","D1"
"IRIS_313-11604","D1"
"IRIS_313-11616","D1"
"IRIS_313-11618","D1"
"IRIS_313-11620","D1"
"IRIS_313-11621","D6"
"IRIS_313-11636","D3"
"IRIS_313-11638","D2"
"IRIS_313-11639","D6"
"IRIS_313-11641","D2"
"IRIS_313-11646","D2"
"IRIS_313-11647","D2"
"IRIS_313-11648","D2"
"IRIS_313-11712","D3"
"IRIS_313-11737","D1"
"IRIS_313-11738","D2"
"IRIS_313-11742","D3"
"IRIS_313-11828","D2"
"IRIS_313-11913","D0"
"IRIS_313-11917","D1"
"IRIS_313-11918","D2"
"IRIS_313-11919","D2"
"IRIS_313-11937","D6"
"IRIS_313-11963","D3"
"IRIS_313-12052","D5"
