sample,F,cluster,s_hat
CX151,0.9905,C5,0.9952273298166291
IRIS_313-8458,0.9734,C6,0.9865207256511604
IRIS_313-8621,0.9742,C2,0.9869314152568128
IRIS_313-8731,0.9768,C0,0.9882638607851073
IRIS_313-8754,0.9678,C0,0.9836365484297185
IRIS_313-8924,0.975,C0,0.9873417721518987
IRIS_313-8982,0.971,C6,0.9852866565195332
IRIS_313-9023,0.9764,C2,0.9880590973487149
IRIS_313-9351,0.9704,C0,0.9849776695087291
IRIS_313-9400,0.9764,C2,0.9880590973487149
IRIS_313-9522,0.9659,C2,0.9826542550485783
IRIS_313-9604,0.9685,C2,0.983997967995936
IRIS_313-9605,0.9705,C2,0.9850291804110632
IRIS_313-9611,0.9609,C0,0.9800601764495894
IRIS_313-10148,0.9757,C2,0.9877005618261882
IRIS_313-10150,0.9768,C4,0.9882638607851073
IRIS_313-10531,0.05371,C3,0.10194455780053337
IRIS_313-10534,0.9581,C4,0.9786017057351514
IRIS_313-10543,0.966,C4,0.982706002034588
IRIS_313-10544,0.9733,C0,0.9864693660365885
IRIS_313-10608,0.9734,C1,0.9865207256511604
IRIS_313-10666,0.9775,C6,0.988621997471555
IRIS_313-10671,0.8322,C6,0.9084161117781901
IRIS_313-10675,0.9744,C6,0.9870340356564019
IRIS_313-10676,0.9731,C6,0.9863666311894986
IRIS_313-10754,0.9605,C2,0.9798520785513899
IRIS_313-10833,0.9684,C0,0.983946352367405
IRIS_313-10834,0.9949,C5,0.9974434808762345
IRIS_313-10835,0.9585,C0,0.9788103140158285
IRIS_313-10836,0.9709,C0,0.9852351717489473
IRIS_313-10849,0.9626,C4,0.9809436461836339
IRIS_313-10850,-0.1899,C3,-0.468831008517467
IRIS_313-10852,0.974,C4,0.9868287740628165
IRIS_313-10853,0.9933,C5,0.9966387397782571
IRIS_313-10857,0.9767,C6,0.9882126776951484
IRIS_313-10859,0.9051,C6,0.9501863419243084
IRIS_313-10861,0.9736,C1,0.9866234292663154
IRIS_313-10862,0.9933,C5,0.9966387397782571
IRIS_313-10865,0.9768,C5,0.9882638607851073
IRIS_313-10866,0.9952,C5,0.9975942261427425
IRIS_313-10867,0.9954,C5,0.9976946978049513
IRIS_313-10869,0.9741,C1,0.9868800972595106
IRIS_313-10870,0.9933,C5,0.9966387397782571
IRIS_313-10871,0.958,C1,0.9785495403472931
IRIS_313-10872,0.3897,C5,0.560840469166007
IRIS_313-10873,0.9662,C4,0.9828094802156444
IRIS_313-10875,0.9686,C1,0.984049578380575
IRIS_313-10876,0.9675,C1,0.9834815756035579
IRIS_313-10877,0.9736,C1,0.9866234292663154
IRIS_313-10878,0.9757,C1,0.9877005618261882
IRIS_313-10879,0.9083,C1,0.9519467588953519
IRIS_313-10883,0.9819,C5,0.9908673495130935
IRIS_313-10888,0.9933,C5,0.9966387397782571
IRIS_313-10893,0.9922,C5,0.9960847304487501
IRIS_313-10894,0.9702,C1,0.984874632017054
IRIS_313-10895,0.9947,C5,0.9973429588409285
IRIS_313-10897,0.9685,C6,0.983997967995936
IRIS_313-11041,0.9749,C0,0.9872904957213023
IRIS_313-11152,0.9735,C2,0.9865720800608057
IRIS_313-11155,0.9974,C5,0.9986983078001402
IRIS_313-11156,0.9939,C5,0.9969406690405738
IRIS_313-11161,0.9885,C5,0.9942167462911742
IRIS_313-11164,0.9684,C4,0.983946352367405
IRIS_313-11165,0.9563,C4,0.9776619127945612
IRIS_313-11166,0.9745,C4,0.9870853380602685
IRIS_313-11167,0.9284,C0,0.9628707736984029
IRIS_313-11168,0.9773,C4,0.9885196985788701
IRIS_313-11169,0.9748,C4,0.98723921409763
IRIS_313-11170,0.9726,C4,0.986109702930143
IRIS_313-11171,0.9656,C4,0.9824989824989825
IRIS_313-11172,0.9303,C1,0.9638916230637725
IRIS_313-11173,0.9716,C4,0.9855954554676405
IRIS_313-11174,0.981,C4,0.9904088844018173
IRIS_313-11175,0.9743,C1,0.9869827280555135
IRIS_313-11176,0.05104,C3,0.09712284974882023
IRIS_313-11197,0.9678,C2,0.9836365484297185
IRIS_313-11198,0.9992,C5,0.9995998399359743
IRIS_313-11200,0.9753,C2,0.9874955702931201
IRIS_313-11245,0.9762,C2,0.9879566845460985
IRIS_313-11247,0.975,C2,0.9873417721518987
IRIS_313-11255,0.9732,C6,0.9864180012162984
IRIS_313-11257,0.5376,C3,0.6992715920915713
IRIS_313-11265,0.9707,C4,0.9851321865327042
IRIS_313-11274,0.5536,C4,0.7126673532440783
IRIS_313-11275,0.9688,C6,0.9841527834213735
IRIS_313-11276,0.6642,C6,0.7982213676240836
IRIS_313-11277,0.9663,C4,0.9828612114122973
IRIS_313-11281,0.9698,C2,0.984668494263377
IRIS_313-11283,0.9766,C6,0.9881614894262877
IRIS_313-11290,0.04855,C3,0.09260407229030566
IRIS_313-11291,0.9718,C1,0.9856983466883051
IRIS_313-11298,0.9731,C1,0.9863666311894986
IRIS_313-11299,0.9782,C6,0.988979880699626
IRIS_313-11302,0.9419,C6,0.9700808486533807
IRIS_313-11303,0.503,C6,0.6693280106453758
IRIS_313-11304,0.9729,C6,0.9862638755132038
IRIS_313-11306,0.9792,C6,0.9894907033144704
IRIS_313-11309,0.9774,C6,0.9885708506119146
IRIS_313-11348,0.9665,C4,0.9829646580218663
IRIS_313-11355,0.9726,C2,0.986109702930143
IRIS_313-11358,0.9726,C0,0.986109702930143
IRIS_313-11371,0.967,C4,0.9832231825114387
IRIS_313-11374,0.9721,C4,0.9858526443892297
