panel,cluster_a,cluster_b,n_a,n_b,fst,n_loci_used
Set1,0,1,31,20,0.25479,22038
Set1,0,2,31,20,0.11035,22111
Set1,0,3,31,5,0.05196,21602
Set1,0,4,31,33,0.24301,22363
Set1,0,5,31,20,0.33187,21612
Set1,0,6,31,21,0.09078,22060
Set1,1,2,20,20,0.27018,22095
Set1,1,3,20,5,0.1337,21146
Set1,1,4,20,33,0.07775,19523
Set1,1,5,20,20,0.34031,19384
Set1,1,6,20,21,0.23873,21967
Set1,2,3,20,5,0.07507,21773
Set1,2,4,20,33,0.24616,22820
Set1,2,5,20,20,0.33912,21552
Set1,2,6,20,21,0.10022,22038
Set1,3,4,5,33,0.08529,21895
Set1,3,5,5,20,0.1506,19869
Set1,3,6,5,21,0.05883,21779
Set1,4,5,33,20,0.29379,20666
Set1,4,6,33,21,0.21492,22638
Set1,5,6,20,21,0.31825,21473
