cluster_a,cluster_b,n_a,n_b,theta,ci95_lo,ci95_hi,low_n
C0,C1,8,21,0.4865858779317787,0.4663325982768332,0.5089789541083127,False
C0,C2,8,23,0.38177331722299235,0.36537195737359,0.39879010781146185,False
C0,C3,8,15,0.4955297647522011,0.4740137170225604,0.5149277751239693,False
C0,C4,8,9,0.7148595346868187,0.6954162954070979,0.734121957286151,False
C0,C5,8,13,0.5019277395836066,0.4730726139502362,0.5290122440438942,False
C0,C6,8,20,0.3715614210088737,0.34395527838326295,0.398357340155647,False
C0,C7,8,28,0.31643032990298964,0.2936448449443151,0.3347644147909457,False
C0,C8,8,10,0.5345061509938345,0.5109937495175804,0.5596908938776242,False
C1,C2,21,23,0.3563266651783639,0.32885798541647154,0.38569519392075874,False
C1,C3,21,15,0.3870188631304011,0.36138248589048516,0.41499544167053853,False
C1,C4,21,9,0.5106183670362224,0.4874699897586119,0.5360099454474563,False
C1,C5,21,13,0.3944849296651144,0.36604464606245296,0.42301249441166155,False
C1,C6,21,20,0.3876710121568987,0.36651430728689177,0.4093601194772236,False
C1,C7,21,28,0.4028201703006389,0.3817684231210009,0.42477717356123307,False
C1,C8,21,10,0.11202942303472971,0.10065430173013633,0.12411014809592609,False
C2,C3,23,15,0.16321990884590992,0.1418008574989611,0.18709888835512067,False
C2,C4,23,9,0.6046578471175695,0.5821451494260926,0.6267924455227275,False
C2,C5,23,13,0.12707329465494976,0.1066349172505198,0.14898713970334843,False
C2,C6,23,20,0.2045913141704937,0.18657206904153867,0.22171685483501954,False
C2,C7,23,28,0.16445283422050627,0.15194682754405087,0.1768419846688118,False
C2,C8,23,10,0.4528742103485047,0.430190262269887,0.47611440519070214,False
C3,C4,15,9,0.6050880848974418,0.5789189094657816,0.6277345577111594,False
C3,C5,15,13,0.1804718968846233,0.155513198742534,0.20851005665117395,False
C3,C6,15,20,0.3100610428922854,0.2872563753516618,0.33490844800115754,False
C3,C7,15,28,0.19060540405835522,0.17405743421657138,0.20657134869675606,False
C3,C8,15,10,0.48513181111494486,0.46405590008410263,0.5085269617643793,False
C4,C5,9,13,0.6306077691393748,0.6064754709371669,0.6531654465315379,False
C4,C6,9,20,0.6236460004257889,0.5999616546705758,0.6435491763258758,False
C4,C7,9,28,0.5555923147423717,0.535356255062432,0.5796997783077651,False
C4,C8,9,10,0.5326662453301958,0.5098195770962685,0.5549970158729304,False
C5,C6,13,20,0.3298552453615928,0.306510310140335,0.34877701921750565,False
C5,C7,13,28,0.1847003722383016,0.17123375654493633,0.19870180269409984,False
C5,C8,13,10,0.49491246539320066,0.47333298009763014,0.5143978349797262,False
C6,C7,20,28,0.1909346882300919,0.1751427480552302,0.20866177325930194,False
C6,C8,20,10,0.4275856883993415,0.40373314282357203,0.4520243017309449,False
C7,C8,28,10,0.3947454599217669,0.37155448804423635,0.4254661928660178,False
