sample,cluster,height_index_z
281785,7,-1.3452895835285592
282803,5,-0.6838333156584311
299554,3,-0.21219690776566963
356457,2,-1.494894465716161
376579,6,0.5088421637453316
376851,6,0.04630425340948005
377448,6,0.7651733268982353
377705,2,-0.896100377522115
384190,8,1.0737945098589683
426049,2,-1.074398059158324
438644,5,-1.3949699311893116
AbhayaXDagadesi,5,-1.017450797551049
ABHISEK,7,-1.4594419205681606
ABOR-A-1,2,-1.255152283044322
ADAYSEL,1,-0.44795754710275204
ANJALI,7,0.23062488033733816
Annada,4,1.049960221581838
Apo,3,-0.24740427063473566
ARC10319,2,1.2792129524425764
ARC12071,0,0.4943407902552946
ARNAPURNA,6,0.7684356941780643
ASD16,7,-0.9861891518033938
AUS257,7,1.0092122538010306
BAKAL,1,0.537403992673624
BAM1057,1,0.5021477258800408
BAM1098,1,1.374221985033497
BAM1659,0,0.6326454940569758
BAM1689,1,0.23198857365307898
BAM1708,1,0.10359697575290223
BAM1812,6,0.8011511732733015
BAM2096,6,0.31502834914501593
BAM2166,8,0.34013499665600067
BAM247,2,1.1142482688112043
BAM2574,6,0.47376222762625
BAM2680,7,-0.9327905254768444
BAM3154,3,0.5201178788963852
BAM3181,6,-1.5592403676013356
BAM326,6,0.9581820420330166
BAM328,6,0.28025454675198025
BAM350,1,1.574789752987936
BAM3690,2,1.6033841276290444
BAM4009,1,0.5725138954466955
BAM4054,7,0.3486792847355589
BAM4138,8,0.2032693490895815
BAM4168,8,0.03345816819497167
BAM4234,7,-1.4530160719350227
BAM4254,7,-0.9173526815860361
BAM4477,2,1.0110614860189864
BAM4496,2,0.7004817187405215
BAM4510,8,0.16121420560028207
BAM4521,8,1.1853637336743699
BAM4534,1,-0.3779424790025492
BAM4797,6,1.275938154892928
BAM491,1,-0.6369709480304506
BAM4928,8,1.177604267604519
BAM5110,7,-0.6840907432938691
BAM56,8,0.024850774202926265
BAM5779,4,0.18927421202261926
BAM5850,1,-0.20364016007440242
BAM6921,3,-1.673871264787863
BAM712,4,1.134998472710269
BAM742,4,1.0063286745403823
BAM7429,6,-0.09698920270774417
BAM7449,1,0.6235352863200511
BAM747,4,0.8418651315553379
BAM759,1,1.4949340308643868
BAM766,4,1.2033494987216657
BAM807,4,0.32306024098980507
BAM811,2,0.21677093338645545
BAM812,7,0.980815527112558
BAM819,7,-1.4347458764701786
BAM8296,5,1.1732524162660658
BAM8305,5,0.3367672303854147
BAM8315,4,-0.7803978126567209
BAM8364,7,0.7254391956026368
BAMAWPYAN,8,0.8330790882152305
BENAMURI,6,1.4582708980379793
BLACKGORA,7,0.6573908961657994
CGR1656,2,0.09623396923408103
CGR1679,6,-0.5610376553608867
CGR2012,6,0.2897821491768385
CO18,0,0.09175658262282987
CR143-2-2,3,-0.18827699924123778
CR262-4,3,-0.1404291706167892
CRDHAN-204,7,-0.42045093528155103
CROSSA,6,1.1329031749320422
DULAR,1,0.7652003676149468
EYPO,2,1.0178649138378324
EYPO-2,7,-0.6955132386522601
FULKATI,1,1.20481087425737
Ghanteswari,2,-0.880019554643551
GHATIKAMMANANGARHAR,7,-0.9018568668457839
GotrabiDhan,2,0.3107605922687517
GP-145-37,6,-0.5123502561652313
GP-145-51,6,0.10774114508545526
HARBHOONDI,7,-1.3833793251857656
HongZuiEr,2,0.643381660647621
IndrabaruniDhan,3,-0.5923812707330143
IR74371-54-1-1,3,0.797215912758934
IR77298-14-1-2-10,3,-1.1867820851127193
IR77298-5-6-18,5,-0.3252182612965875
IR83383-B-B-129-4,5,-0.46866706928199736
IR83388-B-B108-3,3,-0.7342123535404617
IR87707-445-B-B,5,-0.5634716109386589
IR87707-446-B-B,5,-0.5160757886454235
IRROEPYO,8,0.09031195762850021
KALINGA-1,2,-0.8582263128983462
KANGRO,0,0.7756787612430431
KHAODAWTAI,7,-1.4875307143517975
MANDRIRAVINA,0,0.3323947353243076
MAUDAMANI,7,-0.22810507084005
MOROBEREKAN,4,-0.0013782729670173519
MTU1010,5,-0.7645685555347774
MTU9,0,0.5162345608580312
NERICA-L-26,3,-1.1905306995456566
NERICA-L-42,3,-1.5056280425823838
NERICA-L-44,5,-0.8771028125235742
PARIJAT,2,-0.7989103700722159
Patchaiperumal,2,0.1907612497292489
PEH-KUH-TSAO-TU,0,0.4685226716304439
PMK-2,2,-0.4084835822054049
PRASAD-1,7,-0.9368263250439453
PUSA1121,1,-0.699940638076864
Pusa1121-SN12,1,-0.48388249963070085
PUSA44,2,-1.2356970086421883
PUSABASMATI6,7,-1.050059675179909
PUSASUGANDH2,7,-0.6052445638016561
PUSASUGANDH5,2,-0.5127869329723329
RASI,2,-0.645192930497366
RKVY-104,1,0.2457965144997248
RKVY-143,6,1.2764993524425126
RKVY-28,1,-0.04809008804782821
R-RF-44,5,-0.346669584336112
RRF-78,5,-0.8584916567512664
Sadabahar,6,0.03788214345816926
SAFRI-17,7,-0.9472192130503875
SAHBHAGIDHAN,2,-0.47963309721981695
SATABHAMA,7,-0.46395016142113055
SERATOES,1,0.8493230404329243
SERETY,0,0.8904866577873474
SHAKU,7,-0.0994183580593201
SR1-3-1,7,-0.6840742757494076
SUWEON,7,1.0134873743777983
SWARNA,3,-1.9143571925390097
VANAPRAVA,1,0.857912669809808
VANDANA,3,0.8219444247739476
Wayrarem,3,0.1610344360494222
