"sample_a","sample_b","distance"
"CX151","CX151",0
"IRIS_313-8458","CX151",0.373985485463993
"IRIS_313-8621","CX151",0.37396606122623
"IRIS_313-8731","CX151",0.367958599427439
"IRIS_313-8754","CX151",0.367025182497516
"IRIS_313-8924","CX151",0.379028186790072
"IRIS_313-8982","CX151",0.374267526664137
"IRIS_313-9023","CX151",0.371886046120182
"IRIS_313-9351","CX151",0.361366622864652
"IRIS_313-9400","CX151",0.316267387944359
"IRIS_313-9522","CX151",0.361083807000299
"IRIS_313-9604","CX151",0.371046742389055
"IRIS_313-9605","CX151",0.377250925614271
"IRIS_313-9611","CX151",0.37659827534939
"IRIS_313-10148","CX151",0.379202802580425
"IRIS_313-10150","CX151",0.319837691614067
"IRIS_313-10531","CX151",0.287843575418994
"IRIS_313-10534","CX151",0.335195412960074
"IRIS_313-10543","CX151",0.306884533562667
"IRIS_313-10544","CX151",0.378240310732078
"IRIS_313-10608","CX151",0.307123479478428
"IRIS_313-10666","CX151",0.369337979094077
"IRIS_313-10671","CX151",0.367412208243318
"IRIS_313-10675","CX151",0.381083582215118
"IRIS_313-10676","CX151",0.353986226710043
"IRIS_313-10754","CX151",0.378497573327706
"IRIS_313-10833","CX151",0.373708479207583
"IRIS_313-10834","CX151",0.142890285569663
"IRIS_313-10835","CX151",0.369299759989894
"IRIS_313-10836","CX151",0.373528664577864
"IRIS_313-10849","CX151",0.322619251154043
"IRIS_313-10850","CX151",0.232699252540522
"IRIS_313-10852","CX151",0.314202049780381
"IRIS_313-10853","CX151",0.117194780987884
"IRIS_313-10857","CX151",0.359538784067086
"IRIS_313-10859","CX151",0.364340106861879
"IRIS_313-10861","CX151",0.322640010038061
"IRIS_313-10862","CX151",0.115274758067954
"IRIS_313-10865","CX151",0.141986959505834
"IRIS_313-10866","CX151",0.139125617862621
"IRIS_313-10867","CX151",0.144887695520607
"IRIS_313-10869","CX151",0.318709348297411
"IRIS_313-10870","CX151",0.134315497457022
"IRIS_313-10871","CX151",0.316412965991529
"IRIS_313-10872","CX151",0.180224021479213
"IRIS_313-10873","CX151",0.296274166702232
"IRIS_313-10875","CX151",0.311973090351699
"IRIS_313-10876","CX151",0.317499472907443
"IRIS_313-10877","CX151",0.316645780216931
"IRIS_313-10878","CX151",0.317032801685224
"IRIS_313-10879","CX151",0.330701566187513
"IRIS_313-10883","CX151",0.235853844201979
"IRIS_313-10888","CX151",0.14264619019492
"IRIS_313-10893","CX151",0.137531914893617
"IRIS_313-10894","CX151",0.324305584737572
"IRIS_313-10895","CX151",0.133582309997046
"IRIS_313-10897","CX151",0.350967467573889
"IRIS_313-11041","CX151",0.373059204913837
"IRIS_313-11152","CX151",0.366637875188944
"IRIS_313-11155","CX151",0.153482855294371
"IRIS_313-11156","CX151",0.107127420470263
"IRIS_313-11161","CX151",0.091893066724625
"IRIS_313-11164","CX151",0.328089404685149
"IRIS_313-11165","CX151",0.349233426905636
"IRIS_313-11166","CX151",0.315760364585638
"IRIS_313-11167","CX151",0.36834228365173
"IRIS_313-11168","CX151",0.304119235963728
"IRIS_313-11169","CX151",0.324701021961296
"IRIS_313-11170","CX151",0.321223709369025
"IRIS_313-11171","CX151",0.324522320281038
"IRIS_313-11172","CX151",0.3148196606917
"IRIS_313-11173","CX151",0.325050083116662
"IRIS_313-11174","CX151",0.307517030772845
"IRIS_313-11175","CX151",0.327295306611853
"IRIS_313-11176","CX151",0.341585768033815
"IRIS_313-11197","CX151",0.368192698982645
"IRIS_313-11198","CX151",0.152476747611633
"IRIS_313-11200","CX151",0.373842592592593
"IRIS_313-11245","CX151",0.382234355312894
"IRIS_313-11247","CX151",0.383136218755242
"IRIS_313-11255","CX151",0.367783778997698
"IRIS_313-11257","CX151",0.295714159213672
"IRIS_313-11265","CX151",0.325439698492462
"IRIS_313-11274","CX151",0.325216961194298
"IRIS_313-11275","CX151",0.36924179205125
"IRIS_313-11276","CX151",0.337673310225303
"IRIS_313-11277","CX151",0.336682252832891
"IRIS_313-11281","CX151",0.371434005325219
"IRIS_313-11283","CX151",0.363459422865363
"IRIS_313-11290","CX151",0.283384346305203
"IRIS_313-11291","CX151",0.332674487800731
"IRIS_313-11298","CX151",0.314420259522813
"IRIS_313-11299","CX151",0.360365175746173
"IRIS_313-11302","CX151",0.358406706829001
"IRIS_313-11303","CX151",0.365525352848928
"IRIS_313-11304","CX151",0.365819452835074
"IRIS_313-11306","CX151",0.37350222526532
"IRIS_313-11309","CX151",0.371794330136465
"IRIS_313-11348","CX151",0.327823574402991
"IRIS_313-11355","CX151",0.360157699443414
"IRIS_313-11358","CX151",0.368317875210793
"IRIS_313-11371","CX151",0.327227011494253
"IRIS_313-11374","CX151",0.323475906417904
"IRIS_313-11408","CX151",0.376127778976905
"IRIS_313-11414","CX151",0.364052315794017
"IRIS_313-11433","CX151",0.378932477513618
"IRIS_313-11445","CX151",0.374694873881204
"IRIS_313-11447","CX151",0.374524714828897
"IRIS_313-11452","CX151",0.316591757123474
"IRIS_313-11453","CX151",0.371676033889774
"IRIS_313-11454","CX151",0.318478581357146
"IRIS_313-11455","CX151",0.306901677638564
"IRIS_313-11458","CX151",0.322027824620573
"IRIS_313-11462","CX151",0.323202793084592
"IRIS_313-11476","CX151",0.309716088328076
"IRIS_313-11477","CX151",0.302148593533196
"IRIS_313-11479","CX151",0.136814332524788
"IRIS_313-11489","CX151",0.326593730275615
"IRIS_313-11491","CX151",0.376766522806127
"IRIS_313-11493","CX151",0.372864996432918
"IRIS_313-11494","CX151",0.14184126984127
"IRIS_313-11596","CX151",0.358776214941464
"IRIS_313-11597","CX151",0.372771439725849
"IRIS_313-11599","CX151",0.368336503910378
"IRIS_313-11600","CX151",0.367366579177603
"IRIS_313-11602","CX151",0.327067346851288
"IRIS_313-11604","CX151",0.316975904625976
"IRIS_313-11616","CX151",0.343288307302659
"IRIS_313-11618","CX151",0.333823467630131
"IRIS_313-11620","CX151",0.323520747411834
"IRIS_313-11621","CX151",0.368911719939117
"IRIS_313-11636","CX151",0.328531657316404
"IRIS_313-11638","CX151",0.37920958587345
"IRIS_313-11639","CX151",0.374128533400938
"IRIS_313-11641","CX151",0.371829535213081
"IRIS_313-11646","CX151",0.370712014725569
"IRIS_313-11647","CX151",0.379046175863956
"IRIS_313-11648","CX151",0.379381918819188
"IRIS_313-11712","CX151",0.328952348908609
"IRIS_313-11737","CX151",0.326166150238673
"IRIS_313-11738","CX151",0.383829502156345
"IRIS_313-11742","CX151",0.325105812345472
"IRIS_313-11828","CX151",0.380766635742599
"IRIS_313-11913","CX151",0.09
"IRIS_313-11917","CX151",0.319000336587008
"IRIS_313-11918","CX151",0.366409232905241
"IRIS_313-11919","CX151",0.374266800737389
"IRIS_313-11937","CX151",0.383212611844908
