"sample_a","sample_b","kinship"
"CX151","CX151",2.03544682835202
"IRIS_313-8458","CX151",-0.224296597084313
"IRIS_313-8621","CX151",-0.248157841504696
"IRIS_313-8731","CX151",-0.284720889824113
"IRIS_313-8754","CX151",-0.293097644328864
"IRIS_313-8924","CX151",-0.303071481718781
"IRIS_313-8982","CX151",-0.240026696444631
"IRIS_313-9023","CX151",-0.207043070662565
"IRIS_313-9351","CX151",-0.211185276447445
"IRIS_313-9400","CX151",0.0986800131711749
"IRIS_313-9522","CX151",-0.178390490770177
"IRIS_313-9604","CX151",-0.22869806661979
"IRIS_313-9605","CX151",-0.267260299229829
"IRIS_313-9611","CX151",-0.298815337896199
"IRIS_313-10148","CX151",-0.276271927332541
"IRIS_313-10150","CX151",-0.106838652385531
"IRIS_313-10531","CX151",0.128172266026702
"IRIS_313-10534","CX151",-0.112158355906934
"IRIS_313-10543","CX151",-0.016628356400556
"IRIS_313-10544","CX151",-0.277617572126694
"IRIS_313-10608","CX151",-0.0499822821686219
"IRIS_313-10666","CX151",-0.244901330452838
"IRIS_313-10671","CX151",-0.233789175375844
"IRIS_313-10675","CX151",-0.275965676457148
"IRIS_313-10676","CX151",-0.177660259143074
"IRIS_313-10754","CX151",-0.231669093805543
"IRIS_313-10833","CX151",-0.273780631523908
"IRIS_313-10834","CX151",0.940563505314926
"IRIS_313-10835","CX151",-0.254682931555878
"IRIS_313-10836","CX151",-0.271721709511282
"IRIS_313-10849","CX151",-0.0908876703662348
"IRIS_313-10850","CX151",0.494765390456427
"IRIS_313-10852","CX151",-0.0756395223814142
"IRIS_313-10853","CX151",1.14843250042504
"IRIS_313-10857","CX151",-0.193002911111976
"IRIS_313-10859","CX151",-0.210116220430648
"IRIS_313-10861","CX151",-0.0891503194926491
"IRIS_313-10862","CX151",1.15167092968436
"IRIS_313-10865","CX151",0.937048403038833
"IRIS_313-10866","CX151",0.985423616251895
"IRIS_313-10867","CX151",0.949759778545898
"IRIS_313-10869","CX151",-0.0893433083674598
"IRIS_313-10870","CX151",0.986104199647686
"IRIS_313-10871","CX151",-0.0648485883806271
"IRIS_313-10872","CX151",0.756333935414731
"IRIS_313-10873","CX151",0.091350882794304
"IRIS_313-10875","CX151",-0.0717358597551077
"IRIS_313-10876","CX151",-0.0708272089860699
"IRIS_313-10877","CX151",-0.0890825443711431
"IRIS_313-10878","CX151",-0.0872477590656954
"IRIS_313-10879","CX151",-0.10990245174134
"IRIS_313-10883","CX151",0.406881682231389
"IRIS_313-10888","CX151",0.949807041896595
"IRIS_313-10893","CX151",0.984985717820968
"IRIS_313-10894","CX151",-0.0560429280094284
"IRIS_313-10895","CX151",1.02639934300504
"IRIS_313-10897","CX151",-0.12091510565824
"IRIS_313-11041","CX151",-0.260764864180647
"IRIS_313-11152","CX151",-0.203132121210921
"IRIS_313-11155","CX151",0.910920691768457
"IRIS_313-11156","CX151",1.24263961900113
"IRIS_313-11161","CX151",1.30076497333524
"IRIS_313-11164","CX151",-0.127770708576809
"IRIS_313-11165","CX151",-0.219787243485365
"IRIS_313-11166","CX151",-0.0438741193751693
"IRIS_313-11167","CX151",-0.273932169077346
"IRIS_313-11168","CX151",-0.0647570236545209
"IRIS_313-11169","CX151",-0.107856038208119
"IRIS_313-11170","CX151",-0.0903253273493173
"IRIS_313-11171","CX151",-0.0904237031703222
"IRIS_313-11172","CX151",-0.0801780571370699
"IRIS_313-11173","CX151",-0.109657196260334
"IRIS_313-11174","CX151",-0.0843054694732902
"IRIS_313-11175","CX151",-0.130582745333184
"IRIS_313-11176","CX151",-0.164959664427779
"IRIS_313-11197","CX151",-0.259596149101282
"IRIS_313-11198","CX151",0.890144293370904
"IRIS_313-11200","CX151",-0.243904719161513
"IRIS_313-11245","CX151",-0.248156306631055
"IRIS_313-11247","CX151",-0.268748877080877
"IRIS_313-11255","CX151",-0.251421632713031
"IRIS_313-11257","CX151",0.0912602647139784
"IRIS_313-11265","CX151",-0.114838461827891
"IRIS_313-11274","CX151",-0.127229209238907
"IRIS_313-11275","CX151",-0.227833418908335
"IRIS_313-11276","CX151",-0.0953750932843314
"IRIS_313-11277","CX151",-0.0976928450677461
"IRIS_313-11281","CX151",-0.225681819499284
"IRIS_313-11283","CX151",-0.203263547754785
"IRIS_313-11290","CX151",0.191448228466629
"IRIS_313-11291","CX151",-0.147203387816985
"IRIS_313-11298","CX151",-0.076870596035114
"IRIS_313-11299","CX151",-0.2153825901287
"IRIS_313-11302","CX151",-0.1646852682297
"IRIS_313-11303","CX151",-0.228370120310008
"IRIS_313-11304","CX151",-0.230712680542579
"IRIS_313-11306","CX151",-0.255239013794228
"IRIS_313-11309","CX151",-0.253399390741181
"IRIS_313-11348","CX151",-0.0839323381387891
"IRIS_313-11355","CX151",-0.18696840748042
"IRIS_313-11358","CX151",-0.246752043999123
"IRIS_313-11371","CX151",-0.129787106572253
"IRIS_313-11374","CX151",-0.0903986538467299
"IRIS_313-11408","CX151",-0.312174417083837
"IRIS_313-11414","CX151",-0.232769195232522
"IRIS_313-11433","CX151",-0.251806028709217
"IRIS_313-11445","CX151",-0.28734089090031
"IRIS_313-11447","CX151",-0.269629198152403
"IRIS_313-11452","CX151",-0.0320422202462034
"IRIS_313-11453","CX151",-0.265029938249913
"IRIS_313-11454","CX151",-0.089830167890285
"IRIS_313-11455","CX151",-0.00435706513707634
"IRIS_313-11458","CX151",-0.0753347525327179
"IRIS_313-11462","CX151",-0.0998807291178537
"IRIS_313-11476","CX151",-0.0324298570701476
"IRIS_313-11477","CX151",0.00781211135656316
"IRIS_313-11479","CX151",1.01626601503703
"IRIS_313-11489","CX151",-0.0632452363105097
"IRIS_313-11491","CX151",-0.301241217484507
"IRIS_313-11493","CX151",-0.208623906835499
"IRIS_313-11494","CX151",0.968925783402331
"IRIS_313-11596","CX151",-0.190000006831626
"IRIS_313-11597","CX151",-0.28341541156929
"IRIS_313-11599","CX151",-0.269555489425745
"IRIS_313-11600","CX151",-0.274862276375799
"IRIS_313-11602","CX151",-0.125831282540218
"IRIS_313-11604","CX151",-0.0621477420091312
"IRIS_313-11616","CX151",-0.149358461347807
"IRIS_313-11618","CX151",-0.130190363448956
"IRIS_313-11620","CX151",-0.0798934366747252
"IRIS_313-11621","CX151",-0.231384464283227
"IRIS_313-11636","CX151",-0.135790127709431
"IRIS_313-11638","CX151",-0.297300319303602
"IRIS_313-11639","CX151",-0.261932406462248
"IRIS_313-11641","CX151",-0.279778730860911
"IRIS_313-11646","CX151",-0.24791494076229
"IRIS_313-11647","CX151",-0.287586929730918
"IRIS_313-11648","CX151",-0.306282641246833
"IRIS_313-11712","CX151",-0.127084370416617
"IRIS_313-11737","CX151",-0.0966124275166534
"IRIS_313-11738","CX151",-0.324639391251936
"IRIS_313-11742","CX151",-0.0935570786514836
"IRIS_313-11828","CX151",-0.304549123651998
"IRIS_313-11913","CX151",1.39768485775039
"IRIS_313-11917","CX151",-0.0931244225739622
"IRIS_313-11918","CX151",-0.259722629566313
"IRIS_313-11919","CX151",-0.291099159947597
"IRIS_313-11937","CX151",-0.267511982542373
"IRIS_313-11963","CX151",-0.0791209777001094
"IRIS_313-12052","CX151",-0.149484626488806
"CX151","IRIS_313-8458",-0.224296597084313
"IRIS_313-8458","IRIS_313-8458",2.33104443564736
"IRIS_313-8621","IRIS_313-8458",0.400099816520388
"IRIS_313-8731","IRIS_313-8458",0.0632015552392376
"IRIS_313-8754","IRIS_313-8458",0.0889119092563801
"IRIS_313-8924","IRIS_313-8458",0.0781440724858588
"IRIS_313-8982","IRIS_313-8458",0.26761802234093
"IRIS_313-9023","IRIS_313-8458",0.265860762503119
"IRIS_313-9351","IRIS_313-8458",0.00312101313651017
"IRIS_313-9400","IRIS_313-8458",0.278251850810106
"IRIS_313-9522","IRIS_313-8458",0.414845132870527
"IRIS_313-9604","IRIS_313-8458",0.154730871095555
"IRIS_313-9605","IRIS_313-8458",0.270715093645624
"IRIS_313-9611","IRIS_313-8458",0.123596070610911
"IRIS_313-10148","IRIS_313-8458",0.161638362659786
"IRIS_313-10150","IRIS_313-8458",-0.285940405068543
"IRIS_313-10531","IRIS_313-8458",0.093922568424123
"IRIS_313-10534","IRIS_313-8458",-0.15938826628283
"IRIS_313-10543","IRIS_313-8458",-0.187671635047348
"IRIS_313-10544","IRIS_313-8458",0.140113697308812
"IRIS_313-10608","IRIS_313-8458",-0.301069160586389
"IRIS_313-10666","IRIS_313-8458",0.348949638670351
"IRIS_313-10671","IRIS_313-8458",0.291550180141398
"IRIS_313-10675","IRIS_313-8458",0.337697566153342
"IRIS_313-10676","IRIS_313-8458",0.274339506681979
"IRIS_313-10754","IRIS_313-8458",0.244497525242006
"IRIS_313-10833","IRIS_313-8458",0.190842728150813
"IRIS_313-10834","IRIS_313-8458",-0.24297071082979
"IRIS_313-10835","IRIS_313-8458",0.128704317712107
"IRIS_313-10836","IRIS_313-8458",0.125331966332353
"IRIS_313-10849","IRIS_313-8458",-0.296382631505215
"IRIS_313-10850","IRIS_313-8458",-0.132920774495569
"IRIS_313-10852","IRIS_313-8458",-0.276905671607024
"IRIS_313-10853","IRIS_313-8458",-0.246942707273219
"IRIS_313-10857","IRIS_313-8458",0.277612671565157
"IRIS_313-10859","IRIS_313-8458",0.206467103991274
"IRIS_313-10861","IRIS_313-8458",-0.258882281010326
"IRIS_313-10862","IRIS_313-8458",-0.251263644987598
"IRIS_313-10865","IRIS_313-8458",-0.26189366748294
"IRIS_313-10866","IRIS_313-8458",-0.266771954673258
"IRIS_313-10867","IRIS_313-8458",-0.238286781992853
"IRIS_313-10869","IRIS_313-8458",-0.310637501703505
"IRIS_313-10870","IRIS_313-8458",-0.240325550554448
"IRIS_313-10871","IRIS_313-8458",-0.294089637773046
"IRIS_313-10872","IRIS_313-8458",-0.106341448703982
"IRIS_313-10873","IRIS_313-8458",-0.155817873187418
