panel,bin_mid_bp,mean_r2,n_pairs
Set2,12500,0.42501566742420666,226916
Set2,37500,0.30657709441947845,114295
Set2,62500,0.27846174929008227,106869
Set2,87500,0.2599257436596887,104781
Set2,112500,0.2389085865693983,100070
Set2,137500,0.2243988555101433,100482
Set2,162500,0.21264918743700353,101127
Set2,187500,0.2127662150328678,95755
Set2,212500,0.19824806073202147,101319
Set2,237500,0.2024303435744891,102204
Set2,262500,0.20322191529355832,100445
Set2,287500,0.1849940924820968,96927
Set2,312500,0.1748419402113645,96827
Set2,337500,0.17637686640972203,96291
Set2,362500,0.16239586820977667,95305
Set2,387500,0.16658875329968487,95128
Set2,412500,0.15535134549956867,92541
Set2,437500,0.154023104397693,92284
Set2,462500,0.15170783380146483,90769
Set2,487500,0.14389781576042268,95541
Set2,512500,0.14528534612496138,93435
Set2,537500,0.14316038919696714,87955
Set2,562500,0.13751604098179515,91486
Set2,587500,0.1360293771686764,88971
Set2,612500,0.1303590734608214,86718
Set2,637500,0.1360030061195326,92842
Set2,662500,0.13060110908158717,88391
Set2,687500,0.1300390801861169,84379
Set2,712500,0.1273218455596164,89775
Set2,737500,0.12232065016688283,89849
Set2,762500,0.13009162849099046,86584
Set2,787500,0.12724308685913957,86021
Set2,812500,0.1256753852258122,85613
Set2,837500,0.1231518918035895,87068
Set2,862500,0.11981019299590658,83543
Set2,887500,0.1224909751602145,83243
Set2,912500,0.12176483120038595,87875
Set2,937500,0.1207866342142712,84602
Set2,962500,0.1166990136264444,89889
Set2,987500,0.12005343039988287,83736
