"node","bootstrap_support"
148,100
149,30
150,14
151,22
152,42
153,4
154,4
155,11
156,5
157,23
158,59
159,29
160,51
161,41
162,8
163,64
164,4
165,94
166,21
167,84
168,33
169,12
170,60
171,36
172,49
173,49
174,15
175,35
176,71
177,12
178,100
179,29
180,81
181,48
182,90
183,13
184,22
185,70
186,100
187,92
188,6
189,46
190,21
191,19
192,74
193,73
194,67
195,21
196,21
197,53
198,6
199,9
200,19
201,76
202,50
203,90
204,42
205,45
206,28
207,34
208,62
209,69
210,51
211,61
212,47
213,59
214,93
215,46
216,98
217,81
218,93
219,25
220,17
221,24
222,87
223,100
224,100
225,41
226,42
227,91
228,100
229,67
230,36
231,65
232,86
233,99
234,79
235,53
236,76
237,99
238,100
239,93
240,69
241,100
242,100
243,100
244,100
245,100
246,100
247,51
248,99
249,52
250,48
251,47
252,97
253,91
254,98
255,100
256,38
257,78
258,31
259,89
260,67
261,76
262,99
263,97
264,51
265,100
266,94
267,100
268,100
269,100
270,100
271,100
272,100
273,96
274,100
275,100
276,100
277,100
278,87
279,78
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,54
291,94
292,100
