"tip_order","sample"
1,"281785"
2,"282803"
3,"299554"
4,"356457"
5,"376579"
6,"376851"
7,"377448"
8,"377705"
9,"384190"
10,"426049"
11,"438644"
12,"ADAYSEL"
13,"AbhayaXDagadesi"
14,"ABHISEK"
15,"ABOR-A-1"
16,"ANJALI"
17,"Annada"
18,"Apo"
19,"ARC10319"
20,"ARC12071"
21,"ARNAPURNA"
22,"ASD16"
23,"AUS257"
24,"BAKAL"
25,"BAM1057"
26,"BAM1098"
27,"BAM1659"
28,"BAM1689"
29,"BAM1708"
30,"BAM1812"
31,"BAM2096"
32,"BAM2166"
33,"BAM247"
34,"BAM2574"
35,"BAM2680"
36,"BAM3154"
37,"BAM3181"
38,"BAM326"
39,"BAM328"
40,"BAM350"
41,"BAM3690"
42,"BAM4009"
43,"BAM4054"
44,"BAM4138"
45,"BAM4168"
46,"BAM4234"
47,"BAM4254"
48,"BAM4477"
49,"BAM4496"
50,"BAM4510"
51,"BAM4521"
52,"BAM4534"
53,"BAM4797"
54,"BAM491"
55,"BAM4928"
56,"BAM5110"
57,"BAM56"
58,"BAM5779"
59,"BAM5850"
60,"BAM6921"
61,"BAM712"
62,"BAM742"
63,"BAM7429"
64,"BAM7449"
65,"BAM747"
66,"BAM759"
67,"BAM766"
68,"BAM807"
69,"BAM811"
70,"BAM812"
71,"BAM819"
72,"BAM8296"
73,"BAM8305"
74,"BAM8315"
75,"BAM8364"
76,"BAMAWPYAN"
77,"BENAMURI"
78,"BLACKGORA"
79,"CGR1656"
80,"CGR1679"
81,"CGR2012"
82,"CO18"
83,"CRDHAN-204"
84,"CR143-2-2"
85,"CR262-4"
86,"CROSSA"
87,"DULAR"
88,"EYPO"
89,"EYPO-2"
90,"FULKATI"
91,"Ghanteswari"
92,"GHATIKAMMANANGARHAR"
93,"GotrabiDhan"
94,"GP-145-37"
95,"GP-145-51"
96,"HARBHOONDI"
97,"HongZuiEr"
98,"IndrabaruniDhan"
99,"IR74371-54-1-1"
100,"IR77298-14-1-2-10"
101,"IR77298-5-6-18"
102,"IR83383-B-B-129-4"
103,"IR83388-B-B108-3"
104,"IR87707-445-B-B"
105,"IR87707-446-B-B"
106,"IRROEPYO"
107,"KALINGA-1"
108,"KANGRO"
109,"KHAODAWTAI"
110,"MANDRIRAVINA"
111,"MAUDAMANI"
112,"MOROBEREKAN"
113,"MTU1010"
114,"MTU9"
115,"NERICA-L-26"
116,"NERICA-L-42"
117,"NERICA-L-44"
118,"PARIJAT"
119,"Patchaiperumal"
120,"PEH-KUH-TSAO-TU"
121,"PMK-2"
122,"PRASAD-1"
123,"PUSASUGANDH5"
124,"PUSA1121"
125,"Pusa1121-SN12"
126,"PUSA44"
127,"PUSABASMATI6"
128,"PUSASUGANDH2"
129,"RASI"
130,"RKVY-104"
131,"RKVY-143"
132,"RKVY-28"
133,"R-RF-44"
134,"RRF-78"
135,"Sadabahar"
136,"SAFRI-17"
137,"SAHBHAGIDHAN"
138,"SATABHAMA"
139,"SERATOES"
140,"SERETY"
141,"SHAKU"
142,"SR1-3-1"
143,"SUWEON"
144,"SWARNA"
145,"VANAPRAVA"
146,"VANDANA"
147,"Wayrarem"
