sample,cluster,n_roh,total_kb,mean_kb,f_roh
281785,C7,114,289478.0,2539.280701754386,0.7779792928635911
282803,C5,104,238732.0,2295.5,0.6415981613245595
299554,C3,99,218022.0,2202.242424242424,0.5859395235171787
356457,C2,99,238877.0,2412.89898989899,0.641987852414954
376579,C6,115,294306.0,2559.182608695652,0.7909546624113475
376851,C6,107,290517.0,2715.11214953271,0.7807716310906249
377448,C6,109,250171.0,2295.146788990826,0.672340757069544
377705,C2,113,244268.0,2161.663716814159,0.6564762984033456
384190,C8,103,254808.0,2473.864077669903,0.6848028093878842
426049,C2,99,240432.0,2428.6060606060605,0.6461669534188399
438644,C5,105,248377.0,2365.495238095238,0.6675193376476976
ADAYSEL,C1,113,240114.0,2124.902654867257,0.6453123205447334
AbhayaXDagadesi,C5,114,251787.0,2208.657894736842,0.6766837970838717
ABHISEK,C7,105,287082.0,2734.114285714286,0.7715399835354171
ABOR-A-1,C2,106,251926.0,2376.6603773584907,0.6770573630256982
ANJALI,C7,107,301406.0,2816.878504672897,0.8100360882168716
Annada,C4,101,310802.0,3077.2475247524753,0.8352880708744356
Apo,C3,103,242488.0,2354.252427184466,0.6516925043281578
ARC10319,C2,111,246539.0,2221.072072072072,0.662579667136352
ARC12071,C0,108,280220.0,2594.6296296296296,0.7530981886230923
ARNAPURNA,C6,116,292061.0,2517.7672413793102,0.7849211693221361
ASD16,C7,105,292296.0,2783.7714285714287,0.7855527376410513
AUS257,C7,96,281988.0,2937.375,0.757849732401144
BAKAL,C1,103,215326.0,2090.5436893203882,0.5786939567606023
BAM1057,C1,101,215617.0,2134.8217821782177,0.5794760264661526
BAM1098,C1,102,214364.0,2101.607843137255,0.5761085579401919
BAM1659,C0,109,278475.0,2554.816513761468,0.7484084579145516
BAM1689,C1,109,222426.0,2040.605504587156,0.5977753825661264
BAM1708,C1,102,207832.0,2037.5686274509803,0.5585536461991097
BAM1812,C6,102,235608.0,2309.8823529411766,0.6332023339701289
BAM2096,C6,107,287452.0,2686.467289719626,0.7725343676971135
BAM2166,C8,111,255343.0,2300.387387387387,0.6862406351352018
BAM247,C2,99,246678.0,2491.6969696969695,0.6629532330781784
BAM2574,C6,103,291577.0,2830.8446601941746,0.7836204073376468
BAM2680,C7,108,299505.0,2773.1944444444443,0.8049271036455615
BAM3154,C3,83,197045.0,2374.0361445783133,0.5295633165985199
BAM3181,C6,115,284813.0,2476.634782608696,0.7654419898519335
BAM326,C6,116,298674.0,2574.7758620689656,0.8026937705688868
BAM328,C6,110,250159.0,2274.172727272727,0.6723085067724079
BAM350,C1,15,19825.6,1321.7066666666665,0.05328179090845042
BAM3690,C2,107,243567.0,2276.3271028037384,0.6545923435456453
BAM4009,C1,108,228011.0,2111.212962962963,0.6127852083582181
BAM4054,C7,104,296303.0,2849.0673076923076,0.7963216493597464
BAM4138,C8,97,237206.0,2445.422680412371,0.6374969985387525
BAM4168,C8,102,272870.0,2675.1960784313724,0.7333448816272329
BAM4234,C7,104,285983.0,2749.8365384615386,0.7685863938227029
BAM4254,C7,105,283179.0,2696.942857142857,0.7610505743919016
BAM4477,C2,109,262478.0,2408.0550458715597,0.7054161243073729
BAM4496,C2,97,233528.0,2407.505154639175,0.6276122824665388
BAM4510,C8,106,254672.0,2402.566037735849,0.6844373060203417
BAM4521,C8,106,255364.0,2409.0943396226417,0.68629707315519
BAM4534,C1,106,212435.0,2004.1037735849056,0.5709243226755643
BAM4797,C6,112,291122.0,2599.3035714285716,0.7823975835712365
BAM491,C1,104,227096.0,2183.6153846153848,0.6103261232015907
BAM4928,C8,119,276227.0,2321.235294117647,0.7423669022510561
BAM5110,C7,107,291802.0,2727.121495327103,0.7842251004089487
BAM56,C8,115,258044.0,2243.8608695652174,0.693499639515585
BAM5779,C4,90,257548.0,2861.6444444444446,0.6921666272339596
BAM5850,C1,95,202905.0,2135.842105263158,0.5453122116999806
BAM6921,C3,106,242734.0,2289.943396226415,0.6523536354194479
BAM712,C4,95,306201.0,3223.1684210526314,0.8229227694475036
BAM742,C4,110,311854.0,2835.0363636363636,0.8381153469233668
BAM7429,C6,111,269964.0,2432.108108108108,0.7255349346707747
BAM7449,C1,102,211556.0,2074.078431372549,0.5685619884103451
BAM747,C4,98,314635.0,3210.561224489796,0.8455893532846572
BAM759,C1,18,35604.8,1978.0444444444447,0.09568878162260895
BAM766,C4,105,308376.0,2936.9142857142856,0.8287681358034212
BAM807,C4,92,285940.0,3108.0434782608695,0.7684708302579653
BAM811,C2,102,233538.0,2289.5882352941176,0.6276391577141522
BAM812,C7,108,284399.0,2633.324074074074,0.764329354600738
BAM819,C7,116,299547.0,2582.301724137931,0.8050399796855379
BAM8296,C5,108,260003.0,2407.435185185185,0.6987645005230528
BAM8305,C5,103,231963.0,2252.0679611650485,0.6234063062150395
BAM8315,C4,110,286669.0,2606.081818181818,0.7704300358089831
BAM8364,C7,96,285946.0,2978.6041666666665,0.7684869554065332
BAMAWPYAN,C8,101,262795.0,2601.930693069307,0.7062680696567181
BENAMURI,C6,109,293301.0,2690.8348623853212,0.7882537000261994
BLACKGORA,C7,106,288966.0,2726.0943396226417,0.7766032801857844
CGR1656,C2,103,241361.0,2343.3106796116504,0.6486636639221262
CGR1679,C6,116,294095.0,2535.301724137931,0.7903875946867045
CGR2012,C6,114,299387.0,2626.2017543859647,0.8046099757237233
CO18,C0,110,289039.0,2627.6272727272726,0.7767994694933623
CRDHAN-204,C7,108,290350.0,2688.425925925926,0.7803228144554809
CR143-2-2,C3,106,239712.0,2261.433962264151,0.6442319355906742
CR262-4,C3,107,244102.0,2281.3271028037384,0.656030169292963
CROSSA,C6,110,303436.0,2758.509090909091,0.8154917634823947
DULAR,C1,103,205790.0,1997.9611650485438,0.5530657206364505
EYPO,C2,71,159317.0,2243.9014084507044,0.4281683824026308
EYPO-2,C7,101,284636.0,2818.1782178217823,0.764966297969176
FULKATI,C1,107,219070.0,2047.3831775700935,0.5887560494670645
Ghanteswari,C2,105,250956.0,2390.057142857143,0.674450464007197
GHATIKAMMANANGARHAR,C7,108,286460.0,2652.4074074074074,0.7698683431338628
GotrabiDhan,C2,103,239996.0,2330.0582524271845,0.6449951926228951
GP-145-37,C6,108,304497.0,2819.4166666666665,0.818343227254178
GP-145-51,C6,111,245553.0,2212.189189189189,0.6599297677216693
HARBHOONDI,C7,102,274000.0,2686.274509803922,0.7363817846075487
HongZuiEr,C2,105,243034.0,2314.609523809524,0.6531598928478503
IndrabaruniDhan,C3,111,246067.0,2216.8198198198197,0.6613111554489989
IR74371-54-1-1,C3,104,249801.0,2401.9326923076924,0.6713463729078477
IR77298-14-1-2-10,C3,109,245954.0,2256.4587155963304,0.6610074651509672
IR77298-5-6-18,C5,107,241642.0,2258.336448598131,0.6494188583800631
IR83383-B-B-129-4,C5,105,253494.0,2414.2285714285713,0.6812714018514815
IR83388-B-B108-3,C3,108,246755.0,2284.7685185185187,0.6631601724848017
IR87707-445-B-B,C5,106,248029.0,2339.896226415094,0.6665840790307507
IR87707-446-B-B,C5,99,223486.0,2257.4343434343436,0.6006241588131482
IRROEPYO,C8,56,107687.0,1922.982142857143,0.2894114789745733
KALINGA-1,C2,104,257235.0,2473.4134615384614,0.6913254319836598
KANGRO,C0,107,279408.0,2611.2897196261683,0.7509159185168831
KHAODAWTAI,C7,103,279225.0,2710.9223300970875,0.7504241014855576
MANDRIRAVINA,C0,110,287742.0,2615.836363636364,0.7733137498779025
MAUDAMANI,C7,102,287283.0,2816.5,0.7720801760124467
MOROBEREKAN,C4,117,259017.0,2213.8205128205127,0.6961146011083702
MTU1010,C5,107,234589.0,2192.4205607476633,0.630463746238322
