minor_allele_count,n_snps
1,35357
2,20225
3,14621
4,11853
5,9771
6,8252
7,7914
8,6397
9,5720
10,5806
11,5116
12,4352
13,4183
14,3763
15,3762
16,3535
17,3254
18,2904
19,2857
20,2629
21,2458
22,2437
23,2276
24,2211
25,1946
26,1790
27,1685
28,1557
29,1605
30,1567
31,1622
32,1531
33,1512
34,1472
35,1421
36,1516
37,1507
38,1328
39,1221
40,1222
41,1237
42,1170
43,1239
44,1159
45,1183
46,1099
47,1006
48,1003
49,981
50,992
51,997
52,974
53,973
54,965
55,910
56,940
57,850
58,904
59,878
60,773
61,796
62,808
63,743
64,755
65,686
66,694
67,703
68,718
69,689
70,699
71,665
72,690
73,680
74,667
75,373
