panel,chrom,n_snps,span_mb,snps_per_mb
Set1,1,64932,43254222,1501.1713769814194
Set1,2,49035,35935679,1364.521315987935
Set1,3,45611,36413185,1252.5957287174963
Set1,4,41603,35498858,1171.9531935365358
Set1,5,34063,29929750,1138.0983803740426
Set1,6,41543,31236551,1329.9483672189033
Set1,7,36077,29671894,1215.8644136434295
Set1,8,43017,28441981,1512.4473924653842
Set1,9,30449,22939725,1327.3480828562679
Set1,10,30275,23204854,1304.6839251822053
Set1,11,47557,29008602,1639.4102687196025
Set1,12,38513,27530374,1398.9275990220838
Set2,1,6641,43572054,152.41420567412314
Set2,2,3826,35844321,106.73936325924545
Set2,3,3859,36322659,106.24222196948742
Set2,4,2892,35223820,82.10353107641362
Set2,5,2583,29654593,87.10286463887736
Set2,6,3869,31213287,123.95362269920498
Set2,7,1748,29654490,58.945542479401944
Set2,8,1424,28954666,49.180329001204846
Set2,9,1564,22922336,68.23039327230872
Set2,10,656,22869290,28.684755845065588
Set2,11,1448,28426723,50.93798535976166
Set2,12,1055,27431356,38.45963721224718
