sample,subpopulation,country
IRIS_313-11155,temp,India
IRIS_313-10894,admix,India
IRIS_313-9611,ind2,India
IRIS_313-11291,aus,India
IRIS_313-11913,trop,Philippines
IRIS_313-11452,aus,India
IRIS_313-11174,aus,India
IRIS_313-10543,aus,India
IRIS_313-11648,ind2,India
IRIS_313-8924,ind2,India
IRIS_313-10676,admix,India
IRIS_313-11245,indx,India
IRIS_313-11170,aus,India
IRIS_313-10531,admix,India
IRIS_313-10849,aus,India
IRIS_313-10150,aus,India
IRIS_313-11641,ind2,India
IRIS_313-11276,indx,India
IRIS_313-11597,ind2,India
IRIS_313-11306,indx,India
IRIS_313-10872,japx,India
IRIS_313-11299,indx,India
IRIS_313-11200,ind1B,India
IRIS_313-11462,aus,India
IRIS_313-11737,aus,India
IRIS_313-10865,subtrop,India
IRIS_313-11156,japx,India
IRIS_313-11491,ind2,India
IRIS_313-11453,ind2,India
IRIS_313-10888,subtrop,India
IRIS_313-10544,ind2,India
IRIS_313-10857,admix,India
IRIS_313-11414,indx,India
IRIS_313-11937,indx,India
IRIS_313-11171,aus,India
IRIS_313-11445,ind2,India
IRIS_313-11371,aus,India
IRIS_313-10534,aus,India
IRIS_313-9400,indx,India
IRIS_313-11277,aus,India
IRIS_313-11164,aus,India
IRIS_313-11476,aus,India
IRIS_313-10873,aus,India
IRIS_313-11712,aus,India
IRIS_313-10866,subtrop,India
IRIS_313-11274,aus,India
IRIS_313-10833,ind2,India
IRIS_313-8731,ind2,India
IRIS_313-11454,aus,India
IRIS_313-11616,admix,India
IRIS_313-11247,indx,India
IRIS_313-11172,aus,India
IRIS_313-10850,admix,India
IRIS_313-11963,aus,India
IRIS_313-11599,ind2,India
IRIS_313-11477,aus,India
IRIS_313-10895,subtrop,India
IRIS_313-11165,aus,India
IRIS_313-11175,aus,India
IRIS_313-11738,ind2,India
IRIS_313-10867,subtrop,India
IRIS_313-10834,subtrop,India
IRIS_313-11355,indx,India
IRIS_313-11255,indx,India
IRIS_313-11493,indx,India
IRIS_313-11455,aus,India
IRIS_313-10859,indx,India
IRIS_313-11348,aus,India
IRIS_313-10754,indx,India
IRIS_313-11173,aus,India
IRIS_313-11447,indx,India
IRIS_313-11309,indx,India
IRIS_313-11600,ind2,India
IRIS_313-10671,indx,India
IRIS_313-11166,aus,India
IRIS_313-10875,aus,India
IRIS_313-11302,indx,India
IRIS_313-8458,indx,India
IRIS_313-10835,ind2,India
IRIS_313-11494,subtrop,India
IRIS_313-10148,indx,India
IRIS_313-11618,aus,India
IRIS_313-11408,ind2,India
IRIS_313-10883,admix,India
IRIS_313-10852,aus,India
IRIS_313-11374,aus,India
IRIS_313-10608,aus,India
IRIS_313-10876,aus,India
IRIS_313-11167,ind2,India
IRIS_313-11636,aus,India
IRIS_313-11303,indx,India
IRIS_313-10869,aus,India
IRIS_313-10836,ind2,India
IRIS_313-11917,aus,India
IRIS_313-11257,indx,India
IRIS_313-8982,indx,India
IRIS_313-11458,aus,India
IRIS_313-12052,indx,India
IRIS_313-10861,aus,India
IRIS_313-11152,ind1A,India
IRIS_313-9604,indx,India
IRIS_313-10853,japx,India
IRIS_313-11602,aus,India
IRIS_313-11281,ind1A,India
IRIS_313-11828,ind2,India
IRIS_313-11168,aus,India
IRIS_313-11479,trop,India
IRIS_313-11176,indx,India
IRIS_313-10877,aus,India
IRIS_313-9522,indx,India
IRIS_313-11304,indx,India
IRIS_313-11638,ind2,India
IRIS_313-11265,aus,India
IRIS_313-11358,ind2,India
IRIS_313-11918,ind2,India
IRIS_313-8754,ind2,India
IRIS_313-11197,indx,India
IRIS_313-10862,japx,India
IRIS_313-9351,ind2,India
IRIS_313-9605,ind1A,India
IRIS_313-11620,aus,India
IRIS_313-11646,ind2,India
CX151,trop,
IRIS_313-10878,aus,India
IRIS_313-11639,indx,India
IRIS_313-9023,indx,India
IRIS_313-11433,ind1A,India
IRIS_313-11742,aus,India
IRIS_313-10870,subtrop,India
IRIS_313-11161,trop,Liberia
IRIS_313-11919,ind2,India
IRIS_313-11198,temp,India
IRIS_313-10897,ind3,India
IRIS_313-10893,subtrop,India
IRIS_313-11621,indx,India
IRIS_313-11290,admix,India
IRIS_313-11489,aus,India
IRIS_313-11647,ind2,India
IRIS_313-11604,aus,India
IRIS_313-11283,indx,India
IRIS_313-8621,ind1B,India
IRIS_313-10675,indx,India
IRIS_313-11169,aus,India
IRIS_313-10879,admix,India
IRIS_313-11041,ind2,India
IRIS_313-11596,indx,India
IRIS_313-11275,indx,India
IRIS_313-10666,indx,India
IRIS_313-10871,aus,India
IRIS_313-11298,aus,India
