sample,UMAP1,UMAP2
CX151,9.811465,11.054775
IRIS_313-8458,8.209815,2.7805476
IRIS_313-8621,7.561361,3.574487
IRIS_313-8731,6.753941,0.2893108
IRIS_313-8754,7.531458,0.8765772
IRIS_313-8924,7.071033,0.5328647
IRIS_313-8982,9.663973,3.440269
IRIS_313-9023,7.443186,3.4973388
IRIS_313-9351,8.209484,0.70119107
IRIS_313-9400,8.151416,3.5343926
IRIS_313-9522,7.407559,3.410245
IRIS_313-9604,6.0911393,3.7713063
IRIS_313-9605,6.4066114,3.3780782
IRIS_313-9611,6.919544,-0.10033646
IRIS_313-10148,5.7117705,3.358159
IRIS_313-10150,16.528055,5.620101
IRIS_313-10531,8.580629,3.6121008
IRIS_313-10534,16.03566,3.6371877
IRIS_313-10543,15.352655,4.41487
IRIS_313-10544,8.403896,0.5072034
IRIS_313-10608,16.586786,6.2471766
IRIS_313-10666,8.574478,1.9628929
IRIS_313-10671,9.665771,3.3072646
IRIS_313-10675,9.836196,3.1773026
IRIS_313-10676,9.452506,3.7143033
IRIS_313-10754,6.242747,3.6611586
IRIS_313-10833,8.286015,1.0307668
IRIS_313-10834,9.079117,11.43696
IRIS_313-10835,8.046507,0.43616545
IRIS_313-10836,8.148628,0.5169251
IRIS_313-10849,17.078615,4.895205
IRIS_313-10850,8.62933,3.953601
IRIS_313-10852,17.398205,5.3146157
IRIS_313-10853,9.250312,10.997124
IRIS_313-10857,9.308025,3.5547528
IRIS_313-10859,9.30966,3.7518885
IRIS_313-10861,17.504007,7.0564647
IRIS_313-10862,9.272503,11.086092
IRIS_313-10865,9.117107,10.905722
IRIS_313-10866,9.221885,10.951229
IRIS_313-10867,8.837865,11.113749
IRIS_313-10869,17.29739,6.5879655
IRIS_313-10870,8.645397,11.320621
IRIS_313-10871,17.400234,6.866006
IRIS_313-10872,8.711908,10.639607
IRIS_313-10873,16.283323,3.4320893
IRIS_313-10875,17.520195,5.7758603
IRIS_313-10876,17.670206,6.828089
IRIS_313-10877,17.21286,6.7311597
IRIS_313-10878,16.92562,7.0362864
IRIS_313-10879,17.338638,7.25728
IRIS_313-10883,8.348781,10.838075
IRIS_313-10888,9.009806,11.276277
IRIS_313-10893,8.760015,10.580986
IRIS_313-10894,17.63094,7.204798
IRIS_313-10895,8.730909,11.56626
IRIS_313-10897,8.072129,2.638698
IRIS_313-11041,7.8707643,0.6562439
IRIS_313-11152,5.9389563,3.4592178
IRIS_313-11155,9.859205,10.739065
IRIS_313-11156,9.962316,10.926357
IRIS_313-11161,9.737631,11.402984
IRIS_313-11164,16.790846,4.7775545
IRIS_313-11165,16.546625,5.005738
IRIS_313-11166,15.470617,3.9981816
IRIS_313-11167,7.098029,0.313668
IRIS_313-11168,16.66098,4.2792788
IRIS_313-11169,17.808268,5.095023
IRIS_313-11170,16.813944,4.185193
IRIS_313-11171,16.472017,3.6913054
IRIS_313-11172,16.912285,5.763358
IRIS_313-11173,16.920576,4.401174
IRIS_313-11174,16.676834,5.349199
IRIS_313-11175,16.409163,5.725971
IRIS_313-11176,8.335706,3.2102146
IRIS_313-11197,6.5983825,2.86761
IRIS_313-11198,9.574555,10.632188
IRIS_313-11200,7.246651,3.094961
IRIS_313-11245,6.6108665,3.4190927
IRIS_313-11247,5.9988465,3.6360388
IRIS_313-11255,9.422917,2.9649591
IRIS_313-11257,8.662597,3.3174767
IRIS_313-11265,17.573574,5.537675
IRIS_313-11274,16.173403,4.3366885
IRIS_313-11275,8.793642,2.831034
IRIS_313-11276,8.995024,2.4191413
IRIS_313-11277,15.508915,3.80386
IRIS_313-11281,6.5587835,2.994456
IRIS_313-11283,8.295725,2.5086515
IRIS_313-11290,8.098743,3.817706
IRIS_313-11291,17.006338,6.007925
IRIS_313-11298,17.533682,5.5707245
IRIS_313-11299,8.5209255,2.1259525
IRIS_313-11302,8.731,2.2854064
IRIS_313-11303,8.527343,2.529188
IRIS_313-11304,9.191054,2.0408928
IRIS_313-11306,9.511532,2.7604773
IRIS_313-11309,8.970492,2.0869422
IRIS_313-11348,16.327589,3.824079
IRIS_313-11355,5.7583523,3.9029891
IRIS_313-11358,7.60864,1.8544587
IRIS_313-11371,16.264318,4.7287636
IRIS_313-11374,16.097082,5.805424
IRIS_313-11408,7.209404,1.0721544
IRIS_313-11414,8.051181,0.99203503
IRIS_313-11433,6.1728187,3.9019413
IRIS_313-11445,6.7951317,0.34414566
IRIS_313-11447,9.123563,2.2271066
IRIS_313-11452,15.247383,5.2079945
IRIS_313-11453,6.9261045,0.4954592
IRIS_313-11454,15.68978,5.8954372
IRIS_313-11455,15.422763,4.9523206
IRIS_313-11458,15.830034,4.1218295
IRIS_313-11462,15.929744,6.30629
IRIS_313-11476,14.7414465,5.5892324
IRIS_313-11477,15.284007,5.4509773
IRIS_313-11479,9.626356,11.48924
IRIS_313-11489,16.71928,6.4091496
IRIS_313-11491,6.885186,1.1519376
IRIS_313-11493,7.8997145,2.9631374
IRIS_313-11494,8.692394,10.909735
IRIS_313-11596,5.82583,4.099094
IRIS_313-11597,6.45646,0.34941298
IRIS_313-11599,7.076955,1.4752635
IRIS_313-11600,6.401862,-0.04727722
IRIS_313-11602,15.887367,6.002751
IRIS_313-11604,15.631012,6.030779
IRIS_313-11616,8.4549675,3.949348
IRIS_313-11618,16.083645,6.256733
IRIS_313-11620,16.69633,6.6769304
IRIS_313-11621,7.401097,3.0187972
IRIS_313-11636,16.659634,4.600096
IRIS_313-11638,7.2523217,1.1185466
IRIS_313-11639,6.0620995,3.290512
IRIS_313-11641,6.4236727,0.96619296
IRIS_313-11646,7.3310785,1.6515884
IRIS_313-11647,6.474824,0.5022461
IRIS_313-11648,6.7608933,1.308916
IRIS_313-11712,17.174137,4.9722085
IRIS_313-11737,17.009125,7.0733933
IRIS_313-11738,6.638568,0.26555642
IRIS_313-11742,15.600988,4.4614644
IRIS_313-11828,6.48297,0.8125248
IRIS_313-11913,9.575186,11.273382
IRIS_313-11917,16.188267,6.4098506
IRIS_313-11918,7.500955,1.5151719
IRIS_313-11919,6.5897365,0.15392582
IRIS_313-11937,6.8505383,3.7219844
IRIS_313-11963,15.626303,4.20458
IRIS_313-12052,8.102844,3.4497252
