panel,chrom,window_start,window_end,n_snps,pi,theta_w,tajima_d
Set2,1,70994,1070993,197,7.128529028538418e-05,3.1474204841273843e-05,3.8913775150013166
Set2,1,1070994,2070993,150,5.855608760872461e-05,2.3965130589802418e-05,4.407499338813713
Set2,1,2070994,3070993,201,7.08938816720298e-05,3.211327499033524e-05,3.7169937826292245
Set2,1,3070994,4070993,359,0.00012270716228281382,5.7356545878260445e-05,3.5438922748169253
Set2,1,4070994,5070993,155,3.5972523202302996e-05,2.476396827612916e-05,1.3834859220025695
Set2,1,5070994,6070993,163,6.0951194045440685e-05,2.6042108574251958e-05,4.10346817653052
Set2,1,6070994,7070993,116,4.389963478032349e-05,1.8533034322780536e-05,4.141944719125063
Set2,1,7070994,8070993,280,9.523078900629186e-05,4.4734910434297846e-05,3.4976660271171474
Set2,1,8070994,9070993,206,8.277521909387369e-05,3.2912112676661986e-05,4.665884368326594
Set2,1,9070994,10070993,142,4.266902861860292e-05,2.268699029167962e-05,2.684807892709257
Set2,1,10070994,11070993,90,2.7585388166811527e-05,1.437907835388145e-05,2.7481612897353287
Set2,1,11070994,12070993,78,2.1118316611917206e-05,1.2461867906697258e-05,2.0627666212464106
Set2,1,12070994,13070993,118,2.8769697066713845e-05,1.8852569397311234e-05,1.5929225803341698
Set2,1,13070994,14070993,89,3.197228547614686e-05,1.4219310816616101e-05,3.7337203053340904
Set2,1,14070994,15070993,65,1.672971465094e-05,1.0384889922247714e-05,1.7941379121128582
Set2,1,15070994,16070993,45,1.6218916557872804e-05,7.189539176940725e-06,3.5838853104891606
Set2,1,16070994,17070993,37,1.334534377932904e-05,5.91139887881793e-06,3.520399953227548
Set2,1,17070994,18070993,62,2.1003389266761933e-05,9.905587310451665e-06,3.2794823729195377
Set2,1,18070994,19070993,104,3.498082666209397e-05,1.6615823875596342e-05,3.3295734695455224
Set2,1,19070994,20070993,53,2.1027900804178995e-05,8.467679475063522e-06,4.291846894889766
Set2,1,20070994,21070993,57,2.1738885564818786e-05,9.106749624124917e-06,4.035945519667771
Set2,1,21070994,22070993,88,3.125943292501091e-05,1.4059543279350752e-05,3.656417839505927
Set2,1,22070994,23070993,148,5.6706982167169286e-05,2.364559551527172e-05,4.2677399416535335
Set2,1,23070994,24070993,183,7.09887367039346e-05,2.9237459319558948e-05,4.385181393106637
Set2,1,24070994,25070993,261,8.024574332282288e-05,4.169932722625621e-05,2.8607673202618784
Set2,1,25070994,26070993,71,2.2874973659415905e-05,1.134349514583981e-05,3.00209556805605
Set2,1,26070994,27070993,54,1.3703355730027382e-05,8.627447012328871e-06,1.7048217795129343
Set2,1,27070994,28070993,166,4.125491045864757e-05,2.652141118604801e-05,1.7014678735927278
Set2,1,28070994,29070993,241,6.905299548176492e-05,3.850397648094922e-05,2.451652860320529
Set2,1,29070994,30070993,118,3.4802307271393344e-05,1.8852569397311234e-05,2.561900830259954
Set2,1,30070994,31070993,112,3.0835617475339474e-05,1.7893964173719136e-05,2.1855481121647493
Set2,1,31070994,32070993,252,6.984015341805556e-05,4.026141939086806e-05,2.2721326058571876
Set2,1,32070994,33070993,262,6.790720926655641e-05,4.1859094763521554e-05,1.9259475502014827
Set2,1,33070994,34070993,188,5.305621108506568e-05,3.0036297005885697e-05,2.355117309504786
Set2,1,34070994,35070993,249,7.004696023465843e-05,3.9782116779072015e-05,2.352309348082784
Set2,1,35070994,36070993,169,4.8282562519661266e-05,2.7000713797844056e-05,2.415274653139532
Set2,1,36070994,37070993,105,2.579321197781953e-05,1.677559141286169e-05,1.619996727081699
Set2,1,37070994,38070993,146,4.065095494392309e-05,2.332606044074102e-05,2.2660483176587425
Set2,1,38070994,39070993,181,5.1793809388878745e-05,2.891792424502825e-05,2.428536339642335
Set2,1,39070994,40070993,142,4.4930893485981414e-05,2.268699029167962e-05,2.9887144586373884
Set2,1,40070994,41070993,169,3.791054644380023e-05,2.7000713797844056e-05,1.2381556980413562
