chrom,window_start,window_end,n_snps,pi,theta_w,tajima_d
1,1,1000000,2153,0.0005200987333129755,0.000327901196568605,1.8413886608463779
1,1000001,2000000,2195,0.0005044268340270516,0.00032710493334235776,1.702995038647791
1,2000001,3000000,2478,0.0006243555281332301,0.0003721734319479504,2.1292867765728234
1,3000001,4000000,2482,0.0005326190648035068,0.00035895546239224656,1.5201957589517225
1,4000001,5000000,2347,0.000532855866449441,0.00034780777722478545,1.6716521760477552
1,5000001,6000000,2467,0.0005946251846254894,0.00035863695710174764,2.0675961976877506
1,6000001,7000000,2881,0.0006375657372947321,0.0004059349927408325,1.7934191013525707
1,7000001,8000000,1839,0.0004475451097381287,0.0002599003170470925,2.2667127927768425
1,8000001,9000000,1031,0.000219400862223474,0.00013472773788102954,1.9675812474570267
1,9000001,10000000,1733,0.00041604020321436836,0.00024190476813390528,2.2594948773305115
1,10000001,11000000,1689,0.0004132480199114008,0.0002463638422008897,2.1263388899788187
1,11000001,12000000,2851,0.0005597828496938032,0.00040274993983584363,1.2254358337171003
1,12000001,13000000,2531,0.0004476761643422816,0.0003544963883252621,0.8259030797811087
1,13000001,14000000,2799,0.000497443913572635,0.0004131013617770575,0.6417219267527482
1,14000001,15000000,3160,0.0006169308134886894,0.00046836202967861455,0.9972426996539164
1,15000001,16000000,1995,0.0003893949548938429,0.0002955729095829679,0.9969339673896784
1,16000001,17000000,2005,0.0003273729994078543,0.00029366187783997456,0.36053231476975117
1,17000001,18000000,3079,0.0005335363416705874,0.00045737359715640284,0.5234905309808453
1,18000001,19000000,3089,0.0005729138993498923,0.0004487739543129329,0.8695745742035224
1,19000001,20000000,1945,0.00038509943991696854,0.0002877695299657451,1.0621751815586742
1,20000001,21000000,1634,0.0002754725331928362,0.000228527545932952,0.6446683635922112
1,21000001,22000000,1529,0.0002972413540456772,0.00022359071393021924,1.0336543633897237
1,22000001,23000000,3540,0.0007507601196328704,0.0005061049066027327,1.5199302976692297
1,23000001,24000000,4248,0.0008487229618045868,0.0006440176973887511,0.9997388398912794
1,24000001,25000000,3478,0.0006945834317133737,0.0005268077504851605,1.0014132079070786
1,25000001,26000000,2440,0.00043948632446362605,0.0003635737891044804,0.6560914319186677
1,26000001,27000000,1679,0.00025830043316474397,0.00024317878929590084,0.19518631883200976
1,27000001,28000000,1796,0.0003691083988934917,0.0002632446225973308,1.2626164060774354
1,28000001,29000000,2589,0.0005885157672420112,0.0003798175589199237,1.7267423446093175
1,29000001,30000000,2557,0.0005520720055249816,0.00038141008537241817,1.4061514200460108
1,30000001,31000000,2919,0.0006153994117810125,0.00043874103766221794,1.2657017394259404
