"chrom","start","end","n_outlier_snps","statistic","pcadapt_overlap"
"1",742080,742080,1,"iHS",FALSE
"1",1034392,1034392,1,"iHS",FALSE
"1",1966523,1973847,2,"iHS",TRUE
"1",3236258,3255834,8,"iHS",FALSE
"1",12132277,12141607,2,"iHS",TRUE
"1",12820612,12820612,1,"iHS",TRUE
"1",13338375,13538635,10,"iHS",TRUE
"1",14710013,15169402,13,"iHS",TRUE
"1",16123045,16692234,28,"iHS",FALSE
"1",17017636,17488127,12,"iHS",FALSE
"1",17745039,17828268,4,"iHS",FALSE
"1",18828148,18828148,1,"iHS",FALSE
"1",19368818,19509136,29,"iHS",TRUE
"1",19916090,19962712,14,"iHS",FALSE
"1",20347145,20464235,19,"iHS",FALSE
"1",20943333,21084988,12,"iHS",FALSE
"1",21887880,21887880,1,"iHS",TRUE
"1",23269604,23351191,23,"iHS",FALSE
"1",23636481,23673583,3,"iHS",TRUE
"1",23876484,23898803,2,"iHS",TRUE
"1",24177568,24179794,3,"iHS",TRUE
"1",25853325,25877235,3,"iHS",FALSE
"1",26440363,26468825,3,"iHS",FALSE
"1",31658551,31658551,1,"iHS",TRUE
"1",32317453,32449897,19,"iHS",TRUE
"1",33167651,33167651,1,"iHS",TRUE
"1",35796194,35804469,2,"iHS",TRUE
"1",41230182,41373277,2,"iHS",TRUE
"1",41841107,42459979,105,"iHS",TRUE
"10",1531659,1531659,1,"iHS",TRUE
"10",2446627,2504085,3,"iHS",FALSE
"10",3532715,3532715,1,"iHS",TRUE
"10",4504695,4507071,4,"iHS",FALSE
"10",4886939,4887413,2,"iHS",TRUE
"10",5213744,5213744,1,"iHS",FALSE
"10",6095335,6198914,6,"iHS",TRUE
"10",6498554,6537649,14,"iHS",TRUE
"10",6912613,6992934,10,"iHS",TRUE
"10",7266923,7482743,14,"iHS",TRUE
"10",7757831,7966049,6,"iHS",TRUE
"10",9132466,9327350,5,"iHS",TRUE
"10",11548133,11595007,2,"iHS",TRUE
"10",14822416,14843805,2,"iHS",TRUE
"10",18158040,18158040,1,"iHS",TRUE
"10",18809744,18809744,1,"iHS",FALSE
"10",22282344,22282344,1,"iHS",FALSE
"10",22636847,22666956,3,"iHS",TRUE
"10",22969334,22969334,1,"iHS",TRUE
"11",2377569,2377569,1,"iHS",TRUE
"11",3918552,3918552,1,"iHS",TRUE
"11",5377704,5391881,3,"iHS",TRUE
"11",5735634,5735634,1,"iHS",TRUE
"11",6648523,6648523,1,"iHS",FALSE
"11",6915173,7101365,3,"iHS",TRUE
"11",8066420,8080738,4,"iHS",FALSE
"11",8304287,8310768,5,"iHS",TRUE
"11",8528245,8945000,9,"iHS",TRUE
"11",9151895,9310054,4,"iHS",FALSE
"11",10667666,10676192,3,"iHS",TRUE
"11",11190438,11190438,1,"iHS",TRUE
"11",11421876,11989407,27,"iHS",TRUE
"11",12582334,12848643,19,"iHS",TRUE
"11",13070304,13957914,54,"iHS",TRUE
"11",14357665,14981021,10,"iHS",TRUE
"11",15337925,15337925,1,"iHS",TRUE
"11",16198994,16198994,1,"iHS",TRUE
"11",17017197,17024593,2,"iHS",TRUE
"11",17464151,17647499,9,"iHS",FALSE
"11",17931070,17931070,1,"iHS",TRUE
"11",18904824,18942790,11,"iHS",TRUE
"11",19330416,19330627,2,"iHS",TRUE
"11",19891483,19891483,1,"iHS",TRUE
